266,Stimme::N,voice,voz
267,Wort::N,word,palabra
268,Zeichen::N,sign,señal
269,Ruf::N,call,llamada
270,Lärm::N,noise,ruido
271,Lärm::N,noise,barullo
272,Laut::N,sound,sonido
273,Ton::N,tone,tono
274,Lied::N,song,canción
275,Ruhe::N,calm,calma
276,Ruhe::N,calm,silencio
277,Leute::N,people,gente
278,Volk::N,nation,pueblo
279,Arbeit::N,work,trabajo
280,Gast::N,guest,huésped
281,Gast::N,guest,invitado
282,Geschenk::N,gift,regalo
283,Spiel::N,game,juego
284,Gesellschaft::N,company,compañía
285,Hilfe::N,help,ayuda
286,Hilfe::N,help,socorro
287,Freund::N,friend,amigo
288,Kamerad::N,companion,camarada
289,Kamerad::N,companion,compañero
290,Angelegenheit::N,matter,asunto
291,Anzahl::N,count,cantidad
292,Art::N,sort,tipo
293,Art::N,sort,clase
294,Stück::N,piece,pieza
295,Teil::N,part,parte
296,Hälfte::N,half,mitad
297,Kreis::N,circle,círculo
298,Kreuz::N,cross,cruz
299,Linie::N,line,línea
300,Strich::N,stroke,raya
301,Strich::N,stroke,trazo
302,Abstand::N,gap,distancia
303,Entfernung::N,distance,distancia
304,Gegend::N,area,región
305,Gegend::N,area,comarca
306,Platz::N,space,espacio
307,Ort::N,place,sitio
308,Seite::N,side,lado
309,Seite::N,side,costado
310,Mitte::N,middle,medio
311,Mitte::N,middle,centro
312,Gegenstand::N,item,objeto
313,Sache::N,thing,cosa
314,Rand::N,fringe,borde
315,Kante::N,edge,borde
316,Ecke::N,corner,esquina
317,Spitze::N,tip,punta
318,Ende::N,end,cabo
319,Ende::N,end,extremo
320,Loch::N,hole,agujero
321,Loch::N,hole,abertura
322,Winkel::N,angle,ángulo
323,Muster::N,pattern,dibujo
324,Größe::N,size,tamaño
325,Länge::N,length,longitud
326,Höhe::N,height,altura
327,Höhe::N,height,altitud
328,Gewicht::N,weight,peso
329,Menge::N,amount,cantidad
330,Haufen::N,heap,montón
331,Reihe::N,row,fila
332,Boot::N,boat,bote
333,Boot::N,boat,barca
334,Ruder::N,oar,remo
335,Schlitten::N,sleigh,trineo
336,Ski::N,ski,esquí
337,Lagerfeuer::N,campfire,hoguera
338,Last::N,load,carga
339,Gang::N,walk,marcha
340,Schritt::N,step,paso
341,Norden::N,north,norte
342,Süden::N,south,sur
343,Westen::N,west,oeste
344,Osten::N,east,este
345,Holz::N,wood,madera
346,Brett::N,board,tabla
347,Platte::N,slab,placa
348,Platte::N,slab,plancha
349,Stütze::N,bracket,sostén
350,Stütze::N,bracket,soporte
351,Stange::N,pole,vara
352,Stange::N,pole,percha
353,Stock::N,stick,palo
354,Stock::N,stick,bastón
355,Stab::N,staff,vara
356,Stab::N,staff,bastón
357,Rohr::N,pipe,tubo
358,Haus::N,house,casa
359,Heim::N,home,hogar
360,Ofen::N,stove,estufa
361,Fußboden::N,floor,suelo
362,Tisch::N,table,mesa
363,Stuhl::N,chair,silla
364,Wiege::N,cradle,cuna
365,Bett::N,bed,cama
366,Regal::N,shelf,estantería
367,Kiste::N,box,caja
368,Fenster::N,window,ventana
369,Tür::N,door,puerta
370,Tor::N,gate,puerta
371,Zaun::N,fence,valla
372,Zaun::N,fence,cercado
373,Dach::N,roof,techo
374,Dach::N,roof,tejado
375,Leiter::N,ladder,escalera
376,Besen::N,broom,escoba
377,Spaten::N,spade,pala
378,Schaufel::N,shovel,pala
379,Schaufel::N,shovel,paleta
380,Gabel::N,fork,tenedor
381,Löffel::N,spoon,cuchara
382,Messer::N,knife,cuchillo
383,Nagel::N,nail,clavo
384,Netz::N,net,red
385,Haken::N,hook,gancho
386,Haken::N,hook,corchete
387,Griff::N,handle,asa
388,Griff::N,handle,mango
389,Schloss::N,lock,cerradura
390,Bild::N,picture,imagen
391,Figur::N,figure,figura
392,Puppe::N,doll,muñeca
393,Beutel::N,pouch,bolsa
394,Bündel::N,bundle,haz
395,Tasche::N,bag,bolso
396,Eimer::N,bucket,cubo
397,Deckel::N,cover,tapa
398,Deckel::N,cover,tapadera
399,Geschirr::N,dishes,vajilla
400,Sack::N,sack,saco
401,Tasse::N,cup,taza
402,Topf::N,pot,olla
403,Topf::N,pot,marmita
404,Kessel::N,kettle,caldera
405,Essen::N,meal,comida
406,Nahrung::N,food,alimento
407,Speise::N,dish,plato
408,Fleisch::N,meat,carne
409,Getreide::N,corn,cereales
410,Brei::N,mush,puré
411,Brei::N,mush,papilla
412,Brot::N,bread,pan
413,Scheibe::N,slice,lonja
414,Scheibe::N,slice,rebanada
415,Fett::N,fat,grasa
416,Butter::N,butter,mantequilla
417,Öl::N,oil,aceite
418,Salz::N,salt,sal
419,Suppe::N,soup,sopa
420,Honig::N,honey,miel
421,Milch::N,milk,leche
422,Tee::N,tea,té
423,Leder::N,leather,cuero
424,Wolle::N,wool,lana
425,Stoff::N,cloth,tela
426,Stoff::N,cloth,tejido
427,Nadel::N,needle,aguja
428,Faden::N,thread,hilo
429,Knopf::N,button,botón
430,Knoten::N,knot,nudo
431,Farbe::N,paint,pintura
432,Kleidung::N,clothes,ropa
433,Kleidung::N,clothes,vestidos
434,Hemd::N,shirt,camisa
435,Kragen::N,collar,cuello
436,Ärmel::N,sleeve,manga
437,Hose::N,trousers,pantalón
438,Gürtel::N,belt,cinturón
439,Mütze::N,cap,gorro
440,Schuh::N,shoe,zapato
441,Stiefel::N,boot,bota
442,Ring::N,ring,anillo
443,Band::N,ribbon,cinta
444,Kamm::N,comb,peine
445,Spiegel::N,mirror,espejo
446,Riemen::N,strap,correa
447,Schnur::N,string,cuerda
448,Leine::N,leash,correa
449,Decke::N,blanket,manta
450,Kissen::N,pillow,almohada
451,Tuch::N,scarf,pañuelo
452,Handtuch::N,towel,toalla
453,Kraft::N,force,fuerza
454,Stärke::N,strength,fuerza
455,Gesundheit::N,health,salud
456,Krankheit::N,illness,enfermedad
457,Schmerz::N,pain,dolor
458,Wunde::N,wound,llaga
459,Wunde::N,wound,herida
460,Fieber::N,fever,fiebre
461,Arznei::N,medicine,medicina
462,Arznei::N,medicine,medicamento
463,Brücke::N,bridge,puente
464,Brunnen::N,well,pozo
465,Weide::N,pasture,pasto
466,Pfad::N,path,sendero
467,Weg::N,way,camino
468,Straße::N,road,vía
469,Straße::N,road,carretera
470,Dorf::N,village,aldea
471,Dorf::N,village,pueblo
472,Stadt::N,town,ciudad
473,Brief::N,letter,carta
474,Buch::N,book,libro
475,Buchstabe::N,character,letra
476,Buchstabe::N,character,carácter
477,Zeitung::N,newspaper,diario
478,Zeitung::N,newspaper,periódico
479,Leben::N,life,vida
480,Tod::N,death,muerte
481,Grab::N,grave,tumba
482,Grab::N,grave,sepulcro
483,Kirche::N,church,iglesia
484,Sünde::N,sin,pecado
485,Gott::N,god,dios
486,Arbeiter::N,worker,obrero
487,Arbeiter::N,worker,trabajador
488,Chef::N,boss,jefe
489,Meister::N,master,maestro
490,Arzt::N,doctor,médico
491,Lehrer::N,teacher,profesor
492,Geld::N,money,dinero
493,Geschäft::N,business,negocio
494,Laden::N,shop,tienda
495,Preis::N,price,precio
496,Ware::N,ware,mercancía
497,Nutzen::N,profit,provecho
498,Reichtum::N,wealth,riqueza
499,Welt::N,world,mundo
500,Land::N,country,país
501,Staat::N,state,Estado
502,König::N,king,rey
503,Macht::N,power,poder
504,Macht::N,power,potencia
505,Grenze::N,border,frontera
506,Krieg::N,war,guerra
507,Feind::N,enemy,enemigo
508,Gewalt::N,violence,violencia
509,Kampf::N,fight,lucha
510,Kampf::N,fight,combate
511,Bogen[Waffe]::N,bow,arco
512,Pfeil::N,arrow,flecha
513,Gewehr::N,gun,fusil
514,Gewehr::N,gun,escopeta
515,Fehler::N,mistake,error
516,Lüge::N,lie,mentira
517,Schaden::N,damage,daño
518,Unglück::N,misfortune,desgracia
519,Schuld::N,fault,culpa
520,Alter::N,age,edad
521,Schluss::N,conclusion,fin
522,Schluss::N,conclusion,final
523,Zeit::N,time,tiempo
524,Tag::N,day,día
525,Morgen::N,morning,mañana
526,Mittag::N,noon,mediodía
527,Abend::N,evening,noche
528,Nacht::N,night,noche
529,Woche::N,week,semana
530,Monat::N,month,mes
531,Jahr::N,year,año
532,Frühling::N,spring,primavera
533,Sommer::N,summer,verano
534,Herbst::N,autumn,otoño
535,Winter::N,winter,invierno
536,Januar::N,January,enero
537,Februar::N,February,febrero
538,März::N,March,marzo
539,April::N,April,abril
540,Mai::N,May,mayo
541,Juni::N,June,junio
542,Juli::N,July,julio
543,August::N,August,agosto
544,September::N,September,septiembre
545,Oktober::N,October,octubre
546,November::N,November,noviembre
547,Dezember::N,December,diciembre
548,Montag::N,Monday,lunes
549,Dienstag::N,Tuesday,martes
550,Mittwoch::N,Wednesday,miércoles
551,Donnerstag::N,Thursday,jueves
552,Freitag::N,Friday,viernes
553,Samstag::N,Saturday,sábado
554,Sonntag::N,Sunday,domingo
555,groß::A,big,grande
556,klein::A,little,pequeño
557,lang::A,long,largo
558,kurz::A,short,corto
559,breit::A,wide,ancho
560,schmal::A,narrow,estrecho
561,dicht::A,dense,denso
562,dick[Gegenstand]::A,thick,grueso
563,dünn::A,thin,fino
564,dünn::A,thin,delgado
565,fein::A,delicate,fino
566,fein::A,delicate,delicado
567,fest::A,firm,firme
568,fest::A,firm,sólido
569,flach::A,flat,plano
570,glatt::A,smooth,liso
571,hart::A,hard,duro
572,weich::A,soft,muelle
573,rund::A,round,redondo
574,spitz::A,pointed,agudo
575,spitz::A,pointed,apuntado
576,scharf::A,sharp,agudo
577,scharf::A,sharp,afilado
578,stumpf::A,blunt,sin filo
579,schwer::A,heavy,pesado
580,schön::A,beautiful,bello
581,schön::A,beautiful,hermoso
582,heiß::A,hot,caluroso
583,warm::A,warm,cálido
584,warm::A,warm,caliente
585,kalt::A,cold,frío
586,kühl::A,cool,fresco
587,frisch::A,fresh,fresco
588,feucht::A,damp,húmedo
589,nass::A,wet,mojado
590,trocken::A,dry,seco
591,voll::A,full,lleno
592,leer::A,empty,vacío
593,offen::A,open,abierto
594,geschlossen::A,closed,cerrado
595,sauber::A,clean,limpio
596,schmutzig::A,dirty,sucio
597,roh::A,raw,crudo
598,reif::A,ripe,maduro
599,lecker::A,delicious,rico
600,lecker::A,delicious,sabroso
601,süß::A,sweet,dulce
602,bitter::A,bitter,amargo
603,sauer::A,sour,agrio
604,hell::A,bright,claro
605,dunkel::A,dark,oscuro
606,schwarz::A,black,negro
607,weiß::A,white,blanco
608,rot::A,red,rojo
609,gelb::A,yellow,amarillo
610,blau::A,blue,azul
611,grün::A,green,verde
612,grau::A,grey,gris
613,bunt::A,colourful,multicolor
614,bunt::A,colorful,multicolor
615,billig::A,cheap,barato
616,teuer::A,dear,caro
617,wertvoll::A,precious,valioso
618,wertvoll::A,precious,precioso
619,blind::A,blind,ciego
620,taub::A,deaf,sordo
621,kräftig::A,powerful,fuerte
622,stark::A,strong,fuerte
623,stark::A,strong,vigoroso
624,schwach::A,weak,débil
625,fett::A,fat,obeso
626,schlank::A,slim,esbelto
627,hübsch::A,pretty,mono
628,hübsch::A,pretty,guapo
629,böse::A,evil,malo
630,dumm::A,stupid,tonto
631,dumm::A,stupid,estúpido
632,faul::A,lazy,vago
633,faul::A,lazy,perezoso
634,fleißig::A,diligent,aplicado
635,fleißig::A,diligent,diligente
636,geizig::A,stingy,avaro
637,klug::A,clever,sensato
638,klug::A,clever,inteligente
639,geschickt::A,skilful,hábil
640,geschickt::A,skillful,hábil
641,lieb::A,dear,querido
642,lustig::A,merry,alegre
643,sanft::A,gentle,suave
644,hungrig::A,hungry,hambriento
645,krank::A,sick,enfermo
646,nackt::A,naked,desnudo
647,traurig::A,sad,triste
648,lebendig::A,living,vivo
649,lebendig::A,living,viviente
650,gut::A,good,bueno
651,schlecht::A,bad,malo
652,richtig::A,correct,justo
653,richtig::A,correct,correcto
654,schlimm::A,nasty,malo
655,schlimm::A,nasty,grave
656,wahr::A,true,verídico
657,wahr::A,true,verdadero
658,alt::A,old,viejo
659,neu::A,new,nuevo
660,ehemalig::A,former,antiguo
661,alt[Lebewesen]::A,aged,viejo
662,jung::A,young,joven
663,arm::A,poor,pobre
664,reich::A,rich,rico
665,bekannt::A,familiar,conocido
666,berühmt::A,famous,famoso
667,berühmt::A,famous,célebre
668,fremd::A,foreign,extraño
669,verschieden::A,different,diverso
670,verschieden::A,different,distinto
671,verschieden::A,different,diferente
672,nah::A,near,cercano
673,fern::A,far,lejano
674,linker::A,left,izquierdo
675,rechter::A,right,derecho
676,anderer::A,other,otro
677,erster::A,first,primero
678,zweiter::A,second,segundo
679,dritter::A,third,tercero
680,letzter::A,last,último
681,allein::ADV,alone,a solo
682,auf einmal::ADV,at once,de una vez
683,zusammen::ADV,together,juntos
684,lange::ADV,long,mucho tiempo
685,plötzlich::ADV,suddenly,de repente
686,sofort::ADV,instantly,en seguida
687,später::ADV,later,más tarde
688,jetzt::ADV,now,ahora
689,heute::ADV,today,hoy
690,morgen::ADV,tomorrow,mañana
691,bald::ADV,soon,pronto
692,bald::ADV,soon,en breve
693,dann::ADV,then,luego
694,dann::ADV,then,entonces
695,gestern::ADV,yesterday,ayer
696,einst::ADV,once,antaño
697,damals::ADV,at that time,entonces
698,danach::ADV,afterwards,después
699,vorher::ADV,before,antes
700,zuerst::ADV,at first,primero
701,einmal::ADV,once,una vez
702,manchmal::ADV,sometimes,a veces
703,oft::ADV,often,a menudo
704,oft::ADV,often,con frecuencia
705,immer::ADV,always,siempre
706,niemals::ADV,never,jamás
707,hier::ADV,here,aquí
708,hierhin::ADV,hither,acá
709,hierhin::ADV,to here,acá
710,hierhin::ADV,here,acá
711,von hier::ADV,hence,desde aquí
712,dort::ADV,there,ahí
713,dort::ADV,there,allí
714,dorthin::ADV,thither,allí
715,dorthin::ADV,thither,hacia allí
716,dorthin::ADV,there,allí
717,dorthin::ADV,there,hacia allí
718,dorthin::ADV,to there,allí
719,dorthin::ADV,to there,hacia allí
720,geradeaus::ADV,ahead,todo derecho
721,vorwärts::ADV,forward,adelante
722,rückwärts::ADV,backward,hacia atrás
723,zurück::ADV,back,atrás
724,unten::ADV,below,abajo
725,hinab::ADV,down,hacia abajo
726,oben::ADV,above,arriba
727,hinauf::ADV,up,hacia arriba
728,überall::ADV,everywhere,por todas partes
729,nicht::ADV,not,no
730,ein wenig::ADV,a little,un poco
731,kaum::ADV,hardly,apenas
732,sehr::ADV,very,muy
733,sehr::ADV,very,mucho
734,so::ADV,so,tan
735,noch::ADV,still,aún
736,noch::ADV,still,todavía
737,nur::ADV,only,solamente
738,schon::ADV,already,ya
739,wieder::ADV,again,de nuevo
740,vergebens::ADV,in vain,en vano
741,vor::PRP,in front of,antes de
742,vor::PRP,in front of,delante de
743,hinter::PRP,behind,tras
744,hinter::PRP,behind,detrás de
745,unter::PRP,under,bajo
746,unter::PRP,under,debajo de
747,durch::PRP,through,por
748,durch::PRP,through,a través de
749,neben::PRP,next to,al lado de
750,zwischen::PRP,between,entre
751,wegen::PRP,because of,por
752,wegen::PRP,because of,a causa de
753,dies::PRN,this,esto
754,das::PRN,that,eso
755,das::PRN,that,esto
756,alles::PRN,everything,todo
757,ich::PRN,I,yo
758,du::PRN,you,tú
759,du::PRN,thou,tú
760,er::PRN,he,él
761,wir::PRN,we,nosotros
762,ihr::PRN,you,vosotros
763,sie::PRN,they,ellos
764,was::FPRN,what,qué
765,wer::FPRN,who,quién
766,wo::FADV,where,dónde
767,wohin::FADV,where ... to,adónde
768,wohin::FADV,where ... to,hacia dónde
769,wohin::FADV,where to,adónde
770,wohin::FADV,where to,hacia dónde
771,wohin::FADV,where,adónde
772,wohin::FADV,where,hacia dónde
773,wie::FADV,how,cómo
774,warum::FADV,why,por qué
775,wieviel::FNUM,how much,cuánto
776,eins::NUM,one,uno
777,zwei::NUM,two,dos
778,drei::NUM,three,tres
779,vier::NUM,four,cuatro
780,fünf::NUM,five,cinco
781,sechs::NUM,six,seis
782,sieben::NUM,seven,siete
783,acht::NUM,eight,ocho
784,neun::NUM,nine,nueve
785,zehn::NUM,ten,diez
786,elf::NUM,eleven,once
787,zwölf::NUM,twelve,doce
788,zwanzig::NUM,twenty,veinte
789,dreißig::NUM,thirty,treinta
790,vierzig::NUM,forty,cuarenta
791,fünfzig::NUM,fifty,cincuenta
792,sechzig::NUM,sixty,sesenta
793,siebzig::NUM,seventy,setenta
794,achtzig::NUM,eighty,ochenta
795,neunzig::NUM,ninety,noventa
796,hundert::NUM,a hundred,cien
797,hundert::NUM,a hundred,ciento
798,tausend::NUM,a thousand,mil
799,und::CNJ,and,y
800,oder::CNJ,or,o
801,stehen::V,stand,estar de pie
802,sitzen::V,sit,estar sentado
803,liegen::V,lie,yacer
804,liegen::V,lie,estar acostado
805,hängen::V,hang,pender
806,werden::V,become,hacerse
807,passieren::V,happen,suceder
808,beginnen::V,begin,iniciarse
809,beginnen::V,begin,principiar
810,enden::V,end,acabar
811,enden::V,end,terminar
812,wechseln::V,change,variar
813,wechseln::V,change,alternar
814,aufgehen[Sonne]::V,rise,salir
815,untergehen[Sonne]::V,set,ponerse
816,untergehen[Sonne]::V,set,descender
817,scheinen[Sonne]::V,shine,brillar
818,donnern::V,thunder,tronar
819,wehen::V,blow,soplar
820,strömen::V,stream,afluir
821,fließen::V,flow,fluir
822,fließen::V,flow,correr
823,sich drehen::V,revolve,girar
824,schwanken::V,sway,vacilar
825,schwingen::V,swing,oscilar
826,fallen::V,fall,caer
827,brennen::V,burn,arder
828,brennen::V,burn,quemar
829,rauchen::V,smoke,humear
830,rauchen::V,smoke,echar humo
831,regnen::V,rain,llover
832,gefrieren::V,freeze,helarse
833,tauen::V,thaw,deshelarse
834,schmelzen::V,melt,fundirse
835,schmelzen::V,melt,derretirse
836,trocknen::V,dry,secarse
837,sieden::V,boil,hervir
838,faulen::V,rot,pudrirse
839,verfaulen::V,decay,pudrirse
840,reißen::V,snap,romperse
841,versinken::V,sink,hundirse
842,vergehen::V,pass,pasar
843,erscheinen::V,appear,aparecer
844,verschwinden::V,disappear,desaparecer
845,sinken::V,drop,bajar
846,abnehmen::V,decrease,decrecer
847,abnehmen::V,decrease,disminuir
848,zunehmen::V,increase,crecer
849,zunehmen::V,increase,aumentar
850,steigen::V,rise,subir
851,steigen::V,rise,ascender
852,wachsen::V,grow,crecer
853,glänzen::V,shine,brillar
854,glänzen::V,shine,resplandecer
855,funkeln::V,sparkle,chispear
856,lärmen::V,be noisy,hacer ruido
857,läuten::V,chime,sonar
858,läuten::V,chime,repicar
859,klingeln::V,ring,tocar el timbre
860,klirren::V,tinkle,tintinear
861,brausen::V,roar,zumbar
862,rauschen::V,rustle,murmurar
863,klingen::V,sound,sonar
864,bellen::V,bark,ladrar
865,heulen::V,howl,ulular
866,blasen::V,blow,soplar
867,pfeifen::V,whistle,silbar
868,schreien::V,shout,gritar
869,stöhnen::V,groan,gemir
870,zittern::V,tremble,temblar
871,leben::V,be alive,vivir
872,geboren werden::V,be born,nacer
873,atmen::V,breathe,respirar
874,trinken::V,drink,beber
875,essen::V,eat,comer
876,schlucken::V,swallow,tragar
877,müde werden::V,get tired,cansarse
878,müde werden::V,get tired,fatigarse
879,einschlafen::V,fall asleep,dormirse
880,schlafen::V,sleep,dormir
881,aufwachen::V,wake up,despertarse
882,aufstehen::V,get up,levantarse
