,Concept_ID,en,nl
114,Fluss::N,river,stroom
115,Ufer::N,shore,wal
116,Ufer::N,shore,oever
117,Küste::N,coast,kust
118,Festland::N,land,vasteland
119,Meer::N,sea,zee
120,Bucht::N,cove,baai
121,Bucht::N,cove,inham
122,Insel::N,island,eiland
123,Blume::N,flower,bloem
124,Gras::N,grass,gras
125,Wurzel::N,root,wortel
126,Baum::N,tree,boom
127,Stamm::N,trunk,stam
128,Rinde::N,bark,schors
129,Ast::N,limb,tak
130,Zweig::N,branch,twijg
131,Blatt::N,leaf,blad
132,Birke::N,birch,berk
133,Kiefer[Baum]::N,pine,den
134,Weide[Baum]::N,willow,wilg
135,Tanne::N,fir,spar
136,Horn::N,horn,hoorn
137,Feder::N,feather,veer
138,Feder::N,feather,pluim
139,Fell::N,fur,vel
140,Flügel::N,wing,vleugel
141,Klaue::N,claw,klauw
142,Kralle::N,claw,klauw
143,Schwanz::N,tail,staart
144,Ei::N,egg,ei
145,Nest::N,nest,nest
146,Bau::N,lair,hol
147,Tier::N,animal,dier
148,Herde::N,flock,kudde
149,Kuh::N,cow,koe
150,Bulle::N,bull,stier
151,Pferd::N,horse,paard
152,Schaf::N,sheep,schaap
153,Schwein::N,pig,varken
154,Hund::N,dog,hond
155,Katze::N,cat,kat
156,Bär::N,bear,beer
157,Eichhörnchen::N,squirrel,eekhoorntje
158,Elch::N,elk,eland
159,Fuchs::N,fox,vos
160,Hase::N,hare,haas
161,Maus::N,mouse,muis
162,Wolf::N,wolf,wolf
163,Vogel::N,bird,vogel
164,Schwarm::N,swarm,zwerm
165,Huhn::N,chicken,kip
166,Huhn::N,chicken,hoen
167,Hahn::N,cock,haan
168,Gans::N,goose,gans
169,Adler::N,eagle,arend
170,Ente::N,duck,eend
171,Eule::N,owl,uil
172,Kranich::N,crane,kraanvogel
173,Krähe::N,crow,kraai
174,Kuckuck::N,cuckoo,koekoek
175,Schwan::N,swan,zwaan
176,Fisch::N,fish,vis
177,Barsch::N,perch,baars
178,Hecht::N,pike,snoek
179,Schlange[Tier]::N,snake,slang
180,Wurm::N,worm,worm
181,Spinne::N,spider,spin
182,Ameise::N,ant,mier
183,Laus::N,louse,luis
184,Mücke::N,midge,mug
185,Fliege::N,fly,vlieg
186,Schmetterling::N,butterfly,vlinder
187,Beere::N,berry,bes
188,Apfel::N,apple,appel
189,Pilz::N,mushroom,paddestoel
190,Zwiebel::N,onion,ui
191,Saat::N,seed,zaad
192,Korn::N,grain,graan
193,Korn::N,grain,korrel
194,Heu::N,hay,hooi
195,Schale::N,husk,schil
196,Grube::N,pit,kuil
197,Falle::N,trap,val
198,Schlinge::N,noose,strop
199,Spur::N,track,spoor
200,Asche::N,ashes,as
201,Dreck::N,filth,drek
202,Eisen::N,iron,ijzer
203,Gold::N,gold,goud
204,Silber::N,silver,zilver
205,Kohle::N,coal,kool
206,Glas::N,glass,glas
207,Lehm::N,clay,klei
208,Sand::N,sand,zand
209,Mensch::N,human,mens
210,Mann::N,man,man
211,Frau::N,woman,vrouw
212,Kind::N,child,kind
213,Junge::N,boy,jongen
214,Mädchen::N,girl,meisje
215,Familie::N,family,gezin
216,Familie::N,family,familie
217,Großvater::N,grandfather,grootvader
218,Großmutter::N,grandmother,grootmoeder
219,Eltern::N,parents,ouders
220,Vater::N,father,vader
221,Mutter::N,mother,moeder
222,Sohn::N,son,zoon
223,Tochter::N,daughter,dochter
224,Bruder::N,brother,broer
225,Bruder::N,brother,broeder
226,Schwester::N,sister,zus
227,Schwester::N,sister,zuster
228,Onkel::N,uncle,oom
229,Tante::N,aunt,tante
230,Ehemann::N,husband,echtgenoot
231,Ehefrau::N,wife,echtgenote
232,Freude::N,joy,vreugde
233,Gelächter::N,laughter,gelach
234,Glück::N,happiness,geluk
235,Kummer::N,grief,verdriet
236,Wunsch::N,wish,wens
237,Wunsch::N,wish,verlangen
238,Lust::N,desire,zin
239,Lust::N,desire,lust
240,Geist::N,spirit,geest
241,Gedanke::N,thought,gedachte
242,Gedächtnis::N,memory,geheugen
243,Verstand::N,mind,verstand
244,Sinn::N,meaning,betekenis
245,Grund::N,reason,reden
246,Wahrheit::N,truth,waarheid
247,Gespräch::N,talk,gesprek
248,Märchen::N,fairy tale,sprookje
249,Erzählung::N,story,verhaal
250,Nachricht::N,message,tijding
251,Neuigkeit::N,news,nieuws
252,Neuigkeit::N,news,nieuwtje
253,Name::N,name,naam
254,Rätsel::N,puzzle,raadsel
255,Rede::N,speech,rede
256,Sprache::N,language,taal
257,Stimme::N,voice,stem
258,Wort::N,word,woord
259,Zeichen::N,sign,teken
260,Ruf::N,call,roep
261,Lärm::N,noise,lawaai
262,Laut::N,sound,klank
263,Laut::N,sound,geluid
264,Ton::N,tone,toon
265,Ton::N,tone,klank
266,Lied::N,song,lied
267,Ruhe::N,calm,rust
268,Ruhe::N,calm,stilte
269,Leute::N,people,lui
270,Leute::N,people,mensen
271,Volk::N,nation,volk
272,Arbeit::N,work,werk
273,Arbeit::N,work,arbeid
274,Gast::N,guest,gast
275,Geschenk::N,gift,cadeau
276,Geschenk::N,gift,geschenk
277,Spiel::N,game,spel
278,Gesellschaft::N,company,gezelschap
279,Hilfe::N,help,hulp
280,Freund::N,friend,vriend
281,Kamerad::N,companion,maat
282,Kamerad::N,companion,metgezel
283,Angelegenheit::N,matter,zaak
284,Angelegenheit::N,matter,aangelegenheid
285,Anzahl::N,count,tal
286,Anzahl::N,count,aantal
287,Art::N,sort,slag
288,Art::N,sort,soort
289,Stück::N,piece,stuk
290,Teil::N,part,deel
291,Hälfte::N,half,helft
292,Kreis::N,circle,kring
293,Kreis::N,circle,cirkel
294,Kreuz::N,cross,kruis
295,Linie::N,line,lijn
296,Strich::N,stroke,haal
297,Strich::N,stroke,streep
298,Abstand::N,gap,afstand
299,Entfernung::N,distance,afstand
300,Gegend::N,area,streek
301,Platz::N,space,ruimte
302,Ort::N,place,oord
303,Ort::N,place,plaats
304,Seite::N,side,zij
305,Seite::N,side,kant
306,Seite::N,side,zijde
307,Mitte::N,middle,midden
308,Gegenstand::N,item,voorwerp
309,Sache::N,thing,zaak
310,Rand::N,fringe,rand
311,Rand::N,fringe,boord
312,Kante::N,edge,kant
313,Ecke::N,corner,hoek
314,Spitze::N,tip,punt
315,Spitze::N,tip,spits
316,Ende::N,end,einde
317,Ende::N,end,uiteinde
318,Loch::N,hole,gat
319,Winkel::N,angle,hoek
320,Muster::N,pattern,dessin
321,Muster::N,pattern,patroon
322,Größe::N,size,grootte
323,Länge::N,length,lengte
324,Höhe::N,height,hoogte
325,Gewicht::N,weight,gewicht
326,Menge::N,amount,hoeveelheid
327,Haufen::N,heap,hoop
328,Reihe::N,row,rij
329,Reihe::N,row,reeks
330,Boot::N,boat,boot
331,Ruder::N,oar,roeiriem
332,Schlitten::N,sleigh,slee
333,Schlitten::N,sleigh,slede
334,Ski::N,ski,ski
335,Lagerfeuer::N,campfire,kampvuur
336,Last::N,load,last
337,Last::N,load,vracht
338,Gang::N,walk,wandeling
339,Schritt::N,step,stap
340,Schritt::N,step,schrede
341,Norden::N,north,noorden
342,Süden::N,south,zuiden
343,Westen::N,west,westen
344,Osten::N,east,oosten
345,Holz::N,wood,hout
346,Brett::N,board,plank
347,Platte::N,slab,plaat
348,Stütze::N,bracket,stut
349,Stütze::N,bracket,steun
350,Stange::N,pole,stang
351,Stock::N,stick,stok
352,Stab::N,staff,staf
353,Rohr::N,pipe,pijp
354,Haus::N,house,huis
355,Heim::N,home,tehuis
356,Ofen::N,stove,kachel
357,Fußboden::N,floor,vloer
358,Tisch::N,table,tafel
359,Stuhl::N,chair,stoel
360,Wiege::N,cradle,wieg
361,Bett::N,bed,bed
362,Regal::N,shelf,rek
363,Kiste::N,box,kist
364,Fenster::N,window,raam
365,Fenster::N,window,venster
366,Tür::N,door,deur
367,Tor::N,gate,poort
368,Zaun::N,fence,omheining
369,Dach::N,roof,dak
370,Leiter::N,ladder,ladder
371,Besen::N,broom,bezem
372,Spaten::N,spade,schop
373,Schaufel::N,shovel,schep
374,Gabel::N,fork,vork
375,Löffel::N,spoon,lepel
376,Messer::N,knife,mes
377,Nagel::N,nail,spijker
378,Netz::N,net,net
379,Haken::N,hook,haak
380,Griff::N,handle,handvat
381,Schloss::N,lock,slot
382,Bild::N,picture,beeld
383,Figur::N,figure,figuur
384,Puppe::N,doll,pop
385,Beutel::N,pouch,zak
386,Beutel::N,pouch,buidel
387,Bündel::N,bundle,pak
388,Bündel::N,bundle,bundel
389,Tasche::N,bag,tas
390,Eimer::N,bucket,emmer
391,Deckel::N,cover,deksel
392,Geschirr::N,dishes,vaatwerk
393,Sack::N,sack,zak
394,Tasse::N,cup,kop
395,Topf::N,pot,pan
396,Kessel::N,kettle,ketel
397,Essen::N,meal,eten
398,Nahrung::N,food,voedsel
399,Speise::N,dish,spijs
400,Fleisch::N,meat,vlees
401,Getreide::N,corn,graan
402,Brei::N,mush,pap
403,Brei::N,mush,brij
404,Brot::N,bread,brood
405,Scheibe::N,slice,plak
406,Scheibe::N,slice,snede
407,Fett::N,fat,vet
408,Butter::N,butter,boter
409,Öl::N,oil,olie
410,Salz::N,salt,zout
411,Suppe::N,soup,soep
412,Honig::N,honey,honing
413,Milch::N,milk,melk
414,Tee::N,tea,thee
415,Leder::N,leather,leer
416,Leder::N,leather,leder
417,Wolle::N,wool,wol
418,Stoff::N,cloth,stof
419,Nadel::N,needle,naald
420,Faden::N,thread,draad
421,Knopf::N,button,knoop
422,Knoten::N,knot,knoop
423,Farbe::N,paint,verf
424,Kleidung::N,clothes,kledij
425,Kleidung::N,clothes,kleding
426,Hemd::N,shirt,hemd
427,Kragen::N,collar,kraag
428,Ärmel::N,sleeve,mouw
429,Hose::N,trousers,broek
430,Hose::N,trousers,pantalon
431,Gürtel::N,belt,riem
432,Gürtel::N,belt,gordel
433,Mütze::N,cap,muts
434,Schuh::N,shoe,schoen
435,Stiefel::N,boot,laars
436,Ring::N,ring,ring
437,Band::N,ribbon,lint
438,Kamm::N,comb,kam
439,Spiegel::N,mirror,spiegel
440,Riemen::N,strap,riem
441,Schnur::N,string,koord
442,Leine::N,leash,lijn
443,Decke::N,blanket,deken
444,Kissen::N,pillow,kussen
445,Tuch::N,scarf,doek
446,Handtuch::N,towel,handdoek
447,Kraft::N,force,kracht
448,Stärke::N,strength,sterkte
449,Gesundheit::N,health,gezondheid
450,Krankheit::N,illness,ziekte
451,Schmerz::N,pain,pijn
452,Wunde::N,wound,wond
453,Fieber::N,fever,koorts
454,Arznei::N,medicine,medicament
455,Arznei::N,medicine,geneesmiddel
456,Brücke::N,bridge,brug
457,Brunnen::N,well,put
458,Brunnen::N,well,bron
459,Weide::N,pasture,wei
460,Weide::N,pasture,weide
461,Pfad::N,path,pad
462,Weg::N,way,weg
463,Straße::N,road,baan
464,Straße::N,road,straat
465,Dorf::N,village,dorp
466,Stadt::N,town,stad
467,Brief::N,letter,brief
468,Buch::N,book,boek
469,Buchstabe::N,character,letter
470,Zeitung::N,newspaper,krant
471,Zeitung::N,newspaper,dagblad
472,Leben::N,life,leven
473,Tod::N,death,dood
474,Grab::N,grave,graf
475,Kirche::N,church,kerk
476,Sünde::N,sin,zonde
477,Gott::N,god,god
478,Arbeiter::N,worker,arbeider
479,Chef::N,boss,chef
480,Meister::N,master,meester
481,Arzt::N,doctor,arts
482,Arzt::N,doctor,dokter
483,Lehrer::N,teacher,leraar
484,Lehrer::N,teacher,onderwijzer
485,Geld::N,money,geld
486,Geschäft::N,business,zaak
487,Laden::N,shop,winkel
488,Preis::N,price,prijs
489,Ware::N,ware,waar
490,Nutzen::N,profit,nut
491,Nutzen::N,profit,voordeel
492,Reichtum::N,wealth,rijkdom
493,Welt::N,world,wereld
494,Land::N,country,land
495,Staat::N,state,staat
496,König::N,king,koning
497,Macht::N,power,macht
498,Grenze::N,border,grens
499,Krieg::N,war,oorlog
500,Feind::N,enemy,vijand
501,Gewalt::N,violence,geweld
502,Kampf::N,fight,strijd
503,Kampf::N,fight,gevecht
504,Bogen[Waffe]::N,bow,boog
505,Pfeil::N,arrow,pijl
506,Gewehr::N,gun,geweer
507,Fehler::N,mistake,fout
508,Lüge::N,lie,leugen
509,Schaden::N,damage,schade
510,Unglück::N,misfortune,tegenspoed
511,Schuld::N,fault,schuld
512,Alter::N,age,leeftijd
513,Schluss::N,conclusion,slot
514,Zeit::N,time,tijd
515,Tag::N,day,dag
516,Morgen::N,morning,morgen
517,Morgen::N,morning,ochtend
518,Mittag::N,noon,middag
519,Abend::N,evening,avond
520,Nacht::N,night,nacht
521,Woche::N,week,week
522,Monat::N,month,maand
523,Jahr::N,year,jaar
524,Frühling::N,spring,lente
525,Frühling::N,spring,voorjaar
526,Sommer::N,summer,zomer
527,Herbst::N,autumn,herfst
528,Winter::N,winter,winter
529,Januar::N,January,januari
530,Februar::N,February,februari
531,März::N,March,maart
532,April::N,April,april
533,Mai::N,May,mei
534,Juni::N,June,juni
535,Juli::N,July,juli
536,August::N,August,augustus
537,September::N,September,september
538,Oktober::N,October,oktober
539,November::N,November,november
540,Dezember::N,December,december
541,Montag::N,Monday,maandag
542,Dienstag::N,Tuesday,dinsdag
543,Mittwoch::N,Wednesday,woensdag
544,Donnerstag::N,Thursday,donderdag
545,Freitag::N,Friday,vrijdag
546,Samstag::N,Saturday,zaterdag
547,Sonntag::N,Sunday,zondag
548,groß::A,big,groot
549,klein::A,little,klein
550,lang::A,long,lang
551,kurz::A,short,kort
552,breit::A,wide,breed
553,schmal::A,narrow,smal
554,dicht::A,dense,dicht
555,dick[Gegenstand]::A,thick,dik
556,dünn::A,thin,dun
557,fein::A,delicate,fijn
558,fest::A,firm,vast
559,flach::A,flat,plat
560,glatt::A,smooth,glad
561,hart::A,hard,hard
562,weich::A,soft,week
563,rund::A,round,rond
564,spitz::A,pointed,spits
565,spitz::A,pointed,puntig
566,scharf::A,sharp,scherp
567,stumpf::A,blunt,stomp
568,schwer::A,heavy,zwaar
569,schön::A,beautiful,mooi
570,schön::A,beautiful,fraai
571,heiß::A,hot,heet
572,warm::A,warm,warm
573,kalt::A,cold,koud
574,kühl::A,cool,koel
575,frisch::A,fresh,fris
576,feucht::A,damp,vochtig
577,nass::A,wet,nat
578,trocken::A,dry,droog
579,voll::A,full,vol
580,leer::A,empty,leeg
581,offen::A,open,open
582,geschlossen::A,closed,gesloten
583,sauber::A,clean,net
584,sauber::A,clean,schoon
585,schmutzig::A,dirty,vuil
586,roh::A,raw,rauw
587,reif::A,ripe,rijp
588,lecker::A,delicious,lekker
589,süß::A,sweet,zoet
590,bitter::A,bitter,bitter
591,sauer::A,sour,zuur
592,hell::A,bright,licht
593,hell::A,bright,helder
594,dunkel::A,dark,donker
595,schwarz::A,black,zwart
596,weiß::A,white,wit
597,rot::A,red,rood
598,gelb::A,yellow,geel
599,blau::A,blue,blauw
600,grün::A,green,groen
601,grau::A,grey,grijs
602,bunt::A,colourful,bont
603,bunt::A,colorful,bont
604,billig::A,cheap,goedkoop
605,teuer::A,dear,duur
606,wertvoll::A,precious,kostbaar
607,wertvoll::A,precious,waardevol
608,blind::A,blind,blind
609,taub::A,deaf,doof
610,kräftig::A,powerful,krachtig
611,stark::A,strong,sterk
612,schwach::A,weak,zwak
613,fett::A,fat,vet
614,schlank::A,slim,slank
615,hübsch::A,pretty,leuk
616,böse::A,evil,kwaad
617,dumm::A,stupid,dom
618,faul::A,lazy,lui
619,fleißig::A,diligent,vlijtig
620,geizig::A,stingy,gierig
621,klug::A,clever,slim
622,klug::A,clever,schrander
623,klug::A,clever,verstandig
624,geschickt::A,skilful,handig
625,geschickt::A,skilful,vaardig
626,geschickt::A,skillful,handig
627,geschickt::A,skillful,vaardig
628,lieb::A,dear,lief
629,lustig::A,merry,vrolijk
630,sanft::A,gentle,zacht
631,hungrig::A,hungry,hongerig
632,krank::A,sick,ziek
633,nackt::A,naked,naakt
634,traurig::A,sad,treurig
635,traurig::A,sad,bedroefd
636,lebendig::A,living,levend
637,gut::A,good,goed
638,schlecht::A,bad,slecht
639,richtig::A,correct,juist
640,schlimm::A,nasty,erg
641,schlimm::A,nasty,kwaad
642,wahr::A,true,waar
643,alt::A,old,oud
644,neu::A,new,nieuw
645,ehemalig::A,former,voormalig
646,alt[Lebewesen]::A,aged,oud
647,jung::A,young,jong
648,arm::A,poor,arm
649,reich::A,rich,rijk
650,bekannt::A,familiar,bekend
651,berühmt::A,famous,beroemd
652,fremd::A,foreign,vreemd
653,verschieden::A,different,verscheiden
654,verschieden::A,different,verschillend
655,nah::A,near,nabij
656,nah::A,near,nabijgelegen
657,fern::A,far,ver
658,linker::A,left,linker
659,rechter::A,right,rechter
660,anderer::A,other,andere
661,erster::A,first,eerste
662,zweiter::A,second,tweede
663,dritter::A,third,derde
664,letzter::A,last,laatste
665,allein::ADV,alone,alleen
666,auf einmal::ADV,at once,ineens
667,auf einmal::ADV,at once,tegelijk
668,zusammen::ADV,together,samen
669,zusammen::ADV,together,bijeen
670,lange::ADV,long,lang
671,plötzlich::ADV,suddenly,eensklaps
672,plötzlich::ADV,suddenly,plotsklaps
673,sofort::ADV,instantly,terstond
674,sofort::ADV,instantly,aanstonds
675,sofort::ADV,instantly,onmiddelijk
676,später::ADV,later,later
677,jetzt::ADV,now,nu
678,jetzt::ADV,now,nou
679,jetzt::ADV,now,thans
680,heute::ADV,today,heden
681,heute::ADV,today,vandaag
682,morgen::ADV,tomorrow,morgen
683,bald::ADV,soon,gauw
684,bald::ADV,soon,weldra
685,dann::ADV,then,dan
686,dann::ADV,then,toen
687,gestern::ADV,yesterday,gisteren
688,einst::ADV,once,eens
689,damals::ADV,at that time,toen
690,damals::ADV,at that time,destijds
691,danach::ADV,afterwards,daarna
692,vorher::ADV,before,vooraf
693,vorher::ADV,before,van tevoren
694,zuerst::ADV,at first,eerst
695,zuerst::ADV,at first,het eerst
696,einmal::ADV,once,eens
697,einmal::ADV,once,eenmaal
698,manchmal::ADV,sometimes,soms
699,oft::ADV,often,vaak
700,oft::ADV,often,dikwijls
701,immer::ADV,always,altijd
702,niemals::ADV,never,nooit
703,hier::ADV,here,hier
704,hierhin::ADV,hither,hierheen
705,hierhin::ADV,to here,hierheen
706,hierhin::ADV,here,hierheen
707,von hier::ADV,hence,van hier
708,von hier::ADV,hence,hiervandaan
709,dort::ADV,there,daar
710,dort::ADV,there,ginds
711,dorthin::ADV,thither,daarheen
712,dorthin::ADV,there,daarheen
713,dorthin::ADV,to there,daarheen
714,geradeaus::ADV,ahead,rechtuit
715,geradeaus::ADV,ahead,rechtdoor
716,vorwärts::ADV,forward,vooruit
717,vorwärts::ADV,forward,voorwaarts
718,rückwärts::ADV,backward,achteruit
719,rückwärts::ADV,backward,achterwaarts
720,zurück::ADV,back,terug
721,unten::ADV,below,beneden
722,unten::ADV,below,onderaan
723,hinab::ADV,down,omlaag
724,hinab::ADV,down,naar beneden
725,oben::ADV,above,boven
726,hinauf::ADV,up,omhoog
727,hinauf::ADV,up,naar boven
728,überall::ADV,everywhere,alom
729,überall::ADV,everywhere,overal
730,nicht::ADV,not,niet
731,ein wenig::ADV,a little,wat
732,kaum::ADV,hardly,amper
733,kaum::ADV,hardly,nauwelijks
734,sehr::ADV,very,erg
735,sehr::ADV,very,zeer
736,so::ADV,so,zo
737,noch::ADV,still,nog
738,nur::ADV,only,maar
739,nur::ADV,only,alleen
740,schon::ADV,already,al
741,schon::ADV,already,reeds
742,wieder::ADV,again,weer
743,wieder::ADV,again,terug
744,vergebens::ADV,in vain,vergeefs
745,vergebens::ADV,in vain,tevergeefs
746,vor::PRP,in front of,voor
747,hinter::PRP,behind,achter
748,unter::PRP,under,onder
749,unter::PRP,under,beneden
750,durch::PRP,through,door
751,neben::PRP,next to,naast
752,zwischen::PRP,between,tussen
753,wegen::PRP,because of,wegens
754,wegen::PRP,because of,vanwege
755,dies::PRN,this,dit
756,das::PRN,that,dat
757,alles::PRN,everything,alles
758,ich::PRN,I,ik
759,du::PRN,you,je
760,du::PRN,you,jij
761,du::PRN,thou,je
762,du::PRN,thou,jij
763,er::PRN,he,hij
764,wir::PRN,we,we
765,wir::PRN,we,wij
766,ihr::PRN,you,jullie
767,sie::PRN,they,ze
768,sie::PRN,they,zij
769,was::FPRN,what,wat
770,wer::FPRN,who,wie
771,wo::FADV,where,waar
772,wohin::FADV,where ... to,waarheen
773,wohin::FADV,where to,waarheen
774,wohin::FADV,where,waarheen
775,wie::FADV,how,hoe
776,warum::FADV,why,waarom
777,wieviel::FNUM,how much,hoeveel
778,eins::NUM,one,één
779,zwei::NUM,two,twee
780,drei::NUM,three,drie
781,vier::NUM,four,vier
782,fünf::NUM,five,vijf
783,sechs::NUM,six,zes
784,sieben::NUM,seven,zeven
785,acht::NUM,eight,acht
786,neun::NUM,nine,negen
787,zehn::NUM,ten,tien
788,elf::NUM,eleven,elf
789,zwölf::NUM,twelve,twaalf
790,zwanzig::NUM,twenty,twintig
791,dreißig::NUM,thirty,dertig
792,vierzig::NUM,forty,veertig
793,fünfzig::NUM,fifty,vijftig
794,sechzig::NUM,sixty,zestig
795,siebzig::NUM,seventy,zeventig
796,achtzig::NUM,eighty,tachtig
797,neunzig::NUM,ninety,negentig
798,hundert::NUM,a hundred,honderd
799,tausend::NUM,a thousand,duizend
800,und::CNJ,and,en
801,oder::CNJ,or,of
802,stehen::V,stand,staan
803,sitzen::V,sit,zitten
804,liegen::V,lie,liggen
805,hängen::V,hang,hangen
806,werden::V,become,worden
807,passieren::V,happen,gebeuren
808,beginnen::V,begin,beginnen
809,enden::V,end,eindigen
810,wechseln::V,change,wijzigen
811,wechseln::V,change,veranderen
812,aufgehen[Sonne]::V,rise,opgaan
813,untergehen[Sonne]::V,set,ondergaan
814,scheinen[Sonne]::V,shine,schijnen
815,donnern::V,thunder,donderen
816,wehen::V,blow,waaien
817,strömen::V,stream,stromen
818,fließen::V,flow,vloeien
819,sich drehen::V,revolve,draaien
820,sich drehen::V,revolve,zich draaien
821,schwanken::V,sway,wankelen
822,schwingen::V,swing,zwieren
823,fallen::V,fall,vallen
824,brennen::V,burn,branden
825,rauchen::V,smoke,roken
826,regnen::V,rain,regenen
827,gefrieren::V,freeze,bevriezen
828,tauen::V,thaw,dooien
829,schmelzen::V,melt,smelten
830,trocknen::V,dry,drogen
831,sieden::V,boil,koken
832,sieden::V,boil,zieden
833,faulen::V,rot,rotten
834,verfaulen::V,decay,verrotten
835,reißen::V,snap,scheuren
836,versinken::V,sink,verzinken
837,vergehen::V,pass,vergaan
838,erscheinen::V,appear,opdagen
839,erscheinen::V,appear,verschijnen
840,verschwinden::V,disappear,verdwijnen
841,sinken::V,drop,zinken
842,abnehmen::V,decrease,afnemen
843,abnehmen::V,decrease,verminderen
844,zunehmen::V,increase,toenemen
845,steigen::V,rise,stijgen
846,steigen::V,rise,omhooggaan
847,wachsen::V,grow,groeien
848,glänzen::V,shine,glanzen
849,glänzen::V,shine,schitteren
850,funkeln::V,sparkle,fonkelen
851,lärmen::V,be noisy,lawaai maken
852,läuten::V,chime,luiden
853,klingeln::V,ring,bellen
854,klirren::V,tinkle,rinkelen
855,brausen::V,roar,bruisen
856,rauschen::V,rustle,ruisen
857,klingen::V,sound,klinken
858,bellen::V,bark,blaffen
859,heulen::V,howl,huilen
860,blasen::V,blow,blazen
861,pfeifen::V,whistle,fluiten
862,schreien::V,shout,gillen
863,schreien::V,shout,schreeuwen
864,stöhnen::V,groan,steunen
865,zittern::V,tremble,beven
866,zittern::V,tremble,sidderen
867,leben::V,be alive,leven
868,geboren werden::V,be born,geboren worden
869,atmen::V,breathe,ademen
870,trinken::V,drink,drinken
871,essen::V,eat,eten
872,schlucken::V,swallow,slikken
873,müde werden::V,get tired,moe worden
874,einschlafen::V,fall asleep,inslapen
875,schlafen::V,sleep,slapen
876,aufwachen::V,wake up,ontwaken
877,aufwachen::V,wake up,wakker worden
878,aufstehen::V,get up,opstaan
879,sich erholen::V,relax,zich ontspannen
880,krank werden::V,fall ill,ziek worden
881,krank sein::V,be ill,ziek zijn
882,schmerzen::V,ache,pijn doen
883,husten::V,cough,hoesten
884,genesen::V,recover,genezen
885,sterben::V,die,sterven
