,Concept_ID,en,ja
229,Ehemann::N,husband,夫
230,Ehemann::N,husband,主人
231,Ehefrau::N,wife,妻
232,Ehefrau::N,wife,奥さん
233,Freude::N,joy,喜び
234,Gelächter::N,laughter,笑い
235,Glück::N,happiness,幸せ
236,Kummer::N,grief,悩み
237,Wunsch::N,wish,希望
238,Lust::N,desire,気
239,Geist::N,spirit,精神
240,Gedanke::N,thought,考え
241,Gedächtnis::N,memory,記憶
242,Verstand::N,mind,理解力
243,Sinn::N,meaning,意味
244,Grund::N,reason,理由
245,Wahrheit::N,truth,真実
246,Gespräch::N,talk,会話
247,Märchen::N,fairy tale,童話
248,Erzählung::N,story,物語
249,Nachricht::N,message,報告
250,Neuigkeit::N,news,ニュース
251,Name::N,name,名前
252,Rätsel::N,puzzle,謎
253,Rede::N,speech,演説
254,Sprache::N,language,言語
255,Stimme::N,voice,声
256,Wort::N,word,言葉
257,Zeichen::N,sign,記号
258,Ruf::N,call,呼び声
259,Lärm::N,noise,騒音
260,Laut::N,sound,音
261,Ton::N,tone,音
262,Lied::N,song,歌
263,Ruhe::N,calm,静けさ
264,Leute::N,people,人々
265,Volk::N,nation,民族
266,Arbeit::N,work,仕事
267,Gast::N,guest,客
268,Geschenk::N,gift,贈り物
269,Spiel::N,game,遊び
270,Gesellschaft::N,company,社会
271,Hilfe::N,help,援助
272,Freund::N,friend,友達
273,Kamerad::N,companion,同志
274,Angelegenheit::N,matter,件
275,Anzahl::N,count,数
276,Art::N,sort,種類
277,Stück::N,piece,部分
278,Teil::N,part,部分
279,Hälfte::N,half,半分
280,Kreis::N,circle,円
281,Kreuz::N,cross,十字
282,Linie::N,line,線
283,Strich::N,stroke,線
284,Abstand::N,gap,距離
285,Entfernung::N,distance,距離
286,Gegend::N,area,辺
287,Gegend::N,area,地域
288,Platz::N,space,ゆとり
289,Ort::N,place,所
290,Ort::N,place,場所
291,Seite::N,side,横
292,Mitte::N,middle,真ん中
293,Gegenstand::N,item,物件
294,Sache::N,thing,物
295,Rand::N,fringe,端
296,Kante::N,edge,縁
297,Ecke::N,corner,角
298,Spitze::N,tip,先頭
299,Ende::N,end,端
300,Loch::N,hole,穴
301,Winkel::N,angle,片隅
302,Muster::N,pattern,模様
303,Größe::N,size,大きさ
304,Länge::N,length,長さ
305,Höhe::N,height,高さ
306,Gewicht::N,weight,重さ
307,Menge::N,amount,量
308,Haufen::N,heap,堆積
309,Reihe::N,row,並び
310,Boot::N,boat,ボート
311,Ruder::N,oar,オール
312,Schlitten::N,sleigh,そり
313,Ski::N,ski,スキー
314,Lagerfeuer::N,campfire,篝火
315,Last::N,load,荷物
316,Gang::N,walk,歩み
317,Schritt::N,step,歩
318,Norden::N,north,北
319,Süden::N,south,南
320,Westen::N,west,西
321,Osten::N,east,東
322,Holz::N,wood,木
323,Holz::N,wood,木材
324,Brett::N,board,板
325,Platte::N,slab,盤
326,Stütze::N,bracket,支柱
327,Stange::N,pole,棒
328,Stock::N,stick,杖
329,Stab::N,staff,棒
330,Rohr::N,pipe,管
331,Haus::N,house,家
332,Heim::N,home,家
333,Ofen::N,stove,ストーブ
334,Fußboden::N,floor,床
335,Tisch::N,table,机
336,Stuhl::N,chair,椅子
337,Wiege::N,cradle,揺籃
338,Bett::N,bed,ベッド
339,Regal::N,shelf,棚
340,Kiste::N,box,箱
341,Fenster::N,window,窓
342,Tür::N,door,戸
343,Tür::N,door,ドア
344,Tor::N,gate,門
345,Zaun::N,fence,垣根
346,Dach::N,roof,屋根
347,Leiter::N,ladder,梯子
348,Besen::N,broom,ほうき
349,Spaten::N,spade,スコップ
350,Schaufel::N,shovel,シャベル
351,Gabel::N,fork,フォーク
352,Löffel::N,spoon,スプーン
353,Messer::N,knife,ナイフ
354,Nagel::N,nail,釘
355,Netz::N,net,網
356,Haken::N,hook,鉤
357,Haken::N,hook,フック
358,Griff::N,handle,取っ手
359,Schloss::N,lock,錠
360,Bild::N,picture,絵
361,Figur::N,figure,像
362,Puppe::N,doll,人形
363,Beutel::N,pouch,袋
364,Bündel::N,bundle,束
365,Bündel::N,bundle,包み
366,Tasche::N,bag,かばん
367,Eimer::N,bucket,バケツ
368,Deckel::N,cover,蓋
369,Geschirr::N,dishes,食器
370,Sack::N,sack,袋
371,Tasse::N,cup,カップ
372,Topf::N,pot,鍋
373,Kessel::N,kettle,釜
374,Essen::N,meal,食事
375,Nahrung::N,food,食物
376,Speise::N,dish,料理
377,Fleisch::N,meat,肉
378,Getreide::N,corn,麦
379,Getreide::N,corn,穀物
380,Brei::N,mush,粥
381,Brot::N,bread,パン
382,Scheibe::N,slice,枚
383,Scheibe::N,slice,切れ
384,Fett::N,fat,脂肪
385,Butter::N,butter,バター
386,Öl::N,oil,油
387,Salz::N,salt,塩
388,Suppe::N,soup,スープ
389,Honig::N,honey,蜂蜜
390,Milch::N,milk,牛乳
391,Tee::N,tea,茶
392,Tee::N,tea,お茶
393,Leder::N,leather,革
394,Wolle::N,wool,毛糸
395,Stoff::N,cloth,布
396,Nadel::N,needle,針
397,Faden::N,thread,糸
398,Knopf::N,button,ボタン
399,Knoten::N,knot,結び目
400,Farbe::N,paint,ペンキ
401,Kleidung::N,clothes,衣服
402,Hemd::N,shirt,シャツ
403,Kragen::N,collar,襟
404,Ärmel::N,sleeve,袖
405,Hose::N,trousers,ズボン
406,Gürtel::N,belt,帯
407,Gürtel::N,belt,ベルト
408,Mütze::N,cap,帽子
409,Schuh::N,shoe,靴
410,Stiefel::N,boot,ブーツ
411,Ring::N,ring,輪
412,Band::N,ribbon,リボン
413,Kamm::N,comb,櫛
414,Spiegel::N,mirror,鏡
415,Riemen::N,strap,緒
416,Schnur::N,string,紐
417,Leine::N,leash,綱
418,Decke::N,blanket,掛け布団
419,Kissen::N,pillow,枕
420,Tuch::N,scarf,スカーフ
421,Handtuch::N,towel,タオル
422,Kraft::N,force,力
423,Stärke::N,strength,強さ
424,Gesundheit::N,health,健康
425,Krankheit::N,illness,病気
426,Schmerz::N,pain,痛み
427,Wunde::N,wound,傷
428,Fieber::N,fever,熱
429,Arznei::N,medicine,薬
430,Brücke::N,bridge,橋
431,Brunnen::N,well,井戸
432,Weide::N,pasture,牧場
433,Pfad::N,path,小路
434,Weg::N,way,道
435,Straße::N,road,街道
436,Dorf::N,village,村
437,Stadt::N,town,町
438,Stadt::N,town,都市
439,Brief::N,letter,手紙
440,Buch::N,book,本
441,Buchstabe::N,character,文字
442,Zeitung::N,newspaper,新聞
443,Leben::N,life,生活
444,Tod::N,death,死
445,Grab::N,grave,墓
446,Kirche::N,church,教会
447,Sünde::N,sin,罪
448,Gott::N,god,神
449,Arbeiter::N,worker,労働者
450,Chef::N,boss,上司
451,Meister::N,master,達人
452,Meister::N,master,マイスター
453,Arzt::N,doctor,医者
454,Lehrer::N,teacher,先生
455,Geld::N,money,金
456,Geschäft::N,business,取り引き
457,Laden::N,shop,店
458,Preis::N,price,値段
459,Ware::N,ware,商品
460,Nutzen::N,profit,利益
461,Reichtum::N,wealth,豊かさ
462,Welt::N,world,世界
463,Land::N,country,国
464,Staat::N,state,国家
465,König::N,king,国王
466,Macht::N,power,権力
467,Grenze::N,border,国境
468,Krieg::N,war,戦争
469,Feind::N,enemy,敵
470,Gewalt::N,violence,暴力
471,Kampf::N,fight,戦い
472,Bogen[Waffe]::N,bow,弓
473,Pfeil::N,arrow,矢
474,Gewehr::N,gun,銃
475,Fehler::N,mistake,間違い
476,Lüge::N,lie,嘘
477,Schaden::N,damage,損害
478,Unglück::N,misfortune,不幸
479,Schuld::N,fault,罪
480,Alter::N,age,年
481,Alter::N,age,年齢
482,Schluss::N,conclusion,終わり
483,Zeit::N,time,時
484,Zeit::N,time,時間
485,Tag::N,day,日
486,Morgen::N,morning,朝
487,Mittag::N,noon,昼
488,Abend::N,evening,晩
489,Abend::N,evening,夕方
490,Nacht::N,night,夜
491,Woche::N,week,週
492,Monat::N,month,月
493,Jahr::N,year,年
494,Frühling::N,spring,春
495,Sommer::N,summer,夏
496,Herbst::N,autumn,秋
497,Winter::N,winter,冬
498,Januar::N,January,一月
499,Februar::N,February,二月
500,März::N,March,三月
501,April::N,April,四月
502,Mai::N,May,五月
503,Juni::N,June,六月
504,Juli::N,July,七月
505,August::N,August,八月
506,September::N,September,九月
507,Oktober::N,October,十月
508,November::N,November,十一月
509,Dezember::N,December,十二月
510,Montag::N,Monday,月曜日
511,Dienstag::N,Tuesday,火曜日
512,Mittwoch::N,Wednesday,水曜日
513,Donnerstag::N,Thursday,木曜日
514,Freitag::N,Friday,金曜日
515,Samstag::N,Saturday,土曜日
516,Sonntag::N,Sunday,日曜日
517,groß::A,big,大きい
518,klein::A,little,小さい
519,lang::A,long,長い
520,kurz::A,short,短い
521,breit::A,wide,広い
522,schmal::A,narrow,狭い
523,dicht::A,dense,密な
524,dick[Gegenstand]::A,thick,厚い
525,dünn::A,thin,薄い
526,fein::A,delicate,細い
527,fest::A,firm,硬い
528,flach::A,flat,平らな
529,glatt::A,smooth,滑らかな
530,hart::A,hard,堅い
531,weich::A,soft,柔らかい
532,rund::A,round,丸い
533,spitz::A,pointed,尖った
534,scharf::A,sharp,鋭い
535,stumpf::A,blunt,鈍い
536,schwer::A,heavy,重い
537,schön::A,beautiful,綺麗な
538,heiß::A,hot,熱い
539,warm::A,warm,温かい
540,kalt::A,cold,寒い
541,kalt::A,cold,冷たい
542,kühl::A,cool,涼しい
543,frisch::A,fresh,ひんやりした
544,feucht::A,damp,湿った
545,nass::A,wet,濡れた
546,trocken::A,dry,乾いた
547,voll::A,full,いっぱいの
548,leer::A,empty,空の
549,offen::A,open,開いた
550,geschlossen::A,closed,閉まった
551,sauber::A,clean,清潔な
552,schmutzig::A,dirty,汚い
553,roh::A,raw,生の
554,reif::A,ripe,熟した
555,lecker::A,delicious,美味しい
556,süß::A,sweet,甘い
557,bitter::A,bitter,苦い
558,sauer::A,sour,酸っぱい
559,hell::A,bright,明るい
560,dunkel::A,dark,暗い
561,schwarz::A,black,黒い
562,weiß::A,white,白い
563,rot::A,red,赤い
564,gelb::A,yellow,黄色い
565,blau::A,blue,青い
566,grün::A,green,緑の
567,grau::A,grey,灰色の
568,bunt::A,colourful,色取り取りの
569,bunt::A,colorful,色取り取りの
570,billig::A,cheap,安い
571,teuer::A,dear,高い
572,wertvoll::A,precious,貴重な
573,blind::A,blind,盲目の
574,taub::A,deaf,耳が聞こえない
575,kräftig::A,powerful,強力な
576,stark::A,strong,強い
577,schwach::A,weak,弱い
578,fett::A,fat,太った
579,schlank::A,slim,ほっそりした
580,hübsch::A,pretty,素敵な
581,böse::A,evil,悪い
582,dumm::A,stupid,馬鹿な
583,faul::A,lazy,怠惰な
584,fleißig::A,diligent,勤勉な
585,geizig::A,stingy,けちな
586,klug::A,clever,賢い
587,klug::A,clever,頭のいい
588,geschickt::A,skilful,器用な
589,geschickt::A,skillful,器用な
590,lieb::A,dear,愛らしい
591,lustig::A,merry,楽しい
592,sanft::A,gentle,温和な
593,hungrig::A,hungry,空腹の
594,krank::A,sick,病気の
595,nackt::A,naked,裸の
596,traurig::A,sad,悲しい
597,lebendig::A,living,生きた
598,gut::A,good,良い
599,schlecht::A,bad,悪い
600,schlecht::A,bad,駄目な
601,richtig::A,correct,正しい
602,schlimm::A,nasty,ひどい
603,wahr::A,true,本当の
604,alt::A,old,古い
605,neu::A,new,新しい
606,ehemalig::A,former,以前の
607,alt[Lebewesen]::A,aged,年を取った
608,jung::A,young,若い
609,arm::A,poor,貧乏な
610,reich::A,rich,裕福な
611,bekannt::A,familiar,有名な
612,berühmt::A,famous,有名な
613,fremd::A,foreign,見知らぬ
614,verschieden::A,different,色々な
615,nah::A,near,近い
616,fern::A,far,遠い
617,linker::A,left,左の
618,rechter::A,right,右の
619,anderer::A,other,別の
620,erster::A,first,一番目
621,zweiter::A,second,二番目
622,dritter::A,third,三番目
623,letzter::A,last,最後の
624,allein::ADV,alone,一人で
625,auf einmal::ADV,at once,同時に
626,zusammen::ADV,together,一緒に
627,lange::ADV,long,長い間
628,plötzlich::ADV,suddenly,急に
629,sofort::ADV,instantly,すぐに
630,später::ADV,later,後で
631,jetzt::ADV,now,今
632,heute::ADV,today,今日
633,morgen::ADV,tomorrow,明日
634,bald::ADV,soon,間もなく
635,dann::ADV,then,それから
636,gestern::ADV,yesterday,昨日
637,einst::ADV,once,過去に
638,damals::ADV,at that time,あの時
639,danach::ADV,afterwards,その後で
640,vorher::ADV,before,以前に
641,zuerst::ADV,at first,まず
642,zuerst::ADV,at first,最初に
643,einmal::ADV,once,一回
644,manchmal::ADV,sometimes,時々
645,oft::ADV,often,よく
646,immer::ADV,always,いつも
647,niemals::ADV,never,一度も...ない
648,hier::ADV,here,こちら
649,hierhin::ADV,hither,ここへ
650,hierhin::ADV,hither,こちらへ
651,hierhin::ADV,to here,ここへ
652,hierhin::ADV,to here,こちらへ
653,hierhin::ADV,here,ここへ
654,hierhin::ADV,here,こちらへ
655,von hier::ADV,hence,ここから
656,dort::ADV,there,そちら
657,dorthin::ADV,thither,そこへ
658,dorthin::ADV,thither,そちらへ
659,dorthin::ADV,there,そこへ
660,dorthin::ADV,there,そちらへ
661,dorthin::ADV,to there,そこへ
662,dorthin::ADV,to there,そちらへ
663,geradeaus::ADV,ahead,真っ直ぐに
664,vorwärts::ADV,forward,前へ
665,rückwärts::ADV,backward,後ろへ
666,zurück::ADV,back,後ろへ
667,unten::ADV,below,下に
668,hinab::ADV,down,下へ
669,oben::ADV,above,上に
670,hinauf::ADV,up,上へ
671,überall::ADV,everywhere,どこでも
672,nicht::ADV,not,ない
673,ein wenig::ADV,a little,少し
674,ein wenig::ADV,a little,ちょっと
675,kaum::ADV,hardly,ほとんど～ない
676,sehr::ADV,very,とても
677,so::ADV,so,こう
678,noch::ADV,still,まだ
679,nur::ADV,only,～だけ
680,schon::ADV,already,もう
681,wieder::ADV,again,再び
682,vergebens::ADV,in vain,無駄に
683,vor::PRP,in front of,前に
684,hinter::PRP,behind,後ろに
685,unter::PRP,under,下に
686,durch::PRP,through,通して
687,neben::PRP,next to,横に
688,zwischen::PRP,between,間に
689,wegen::PRP,because of,為に
690,wegen::PRP,because of,せいで
691,dies::PRN,this,これ
692,das::PRN,that,それ
693,alles::PRN,everything,全部
694,ich::PRN,I,私
695,du::PRN,you,あなた
696,du::PRN,thou,あなた
697,er::PRN,he,彼
698,wir::PRN,we,私達
699,ihr::PRN,you,あなた達
700,sie::PRN,they,彼ら
701,was::FPRN,what,何
702,wer::FPRN,who,誰
703,wer::FPRN,who,どなた
704,wo::FADV,where,どこ
705,wo::FADV,where,どこに
706,wohin::FADV,where ... to,どこへ
707,wohin::FADV,where to,どこへ
708,wohin::FADV,where,どこへ
709,wie::FADV,how,どう
710,warum::FADV,why,何故
711,warum::FADV,why,どうして
712,wieviel::FNUM,how much,どのくらい
713,eins::NUM,one,一
714,zwei::NUM,two,二
715,zwei::NUM,two,二つ
716,drei::NUM,three,三
717,drei::NUM,three,三つ
718,vier::NUM,four,四
719,vier::NUM,four,四つ
720,fünf::NUM,five,五
721,fünf::NUM,five,五つ
722,sechs::NUM,six,六
723,sechs::NUM,six,六つ
724,sieben::NUM,seven,七
725,sieben::NUM,seven,七つ
726,acht::NUM,eight,八
727,acht::NUM,eight,八つ
728,neun::NUM,nine,九
729,neun::NUM,nine,九つ
730,zehn::NUM,ten,十
731,elf::NUM,eleven,十一
732,zwölf::NUM,twelve,十二
733,zwanzig::NUM,twenty,二十
734,dreißig::NUM,thirty,三十
735,vierzig::NUM,forty,四十
736,fünfzig::NUM,fifty,五十
737,sechzig::NUM,sixty,六十
738,siebzig::NUM,seventy,七十
739,achtzig::NUM,eighty,八十
740,neunzig::NUM,ninety,九十
741,hundert::NUM,a hundred,百
742,tausend::NUM,a thousand,千
743,und::CNJ,and,-と
744,und::CNJ,and,そして
745,oder::CNJ,or,或いは
746,stehen::V,stand,立っている
747,sitzen::V,sit,座っている
748,liegen::V,lie,横になっている
749,hängen::V,hang,掛かっている
750,werden::V,become,なる
751,passieren::V,happen,起こる
752,beginnen::V,begin,始まる
753,enden::V,end,終わる
754,wechseln::V,change,変わる
755,aufgehen[Sonne]::V,rise,出る
756,untergehen[Sonne]::V,set,沈む
757,scheinen[Sonne]::V,shine,輝く
758,donnern::V,thunder,雷が鳴る
759,wehen::V,blow,吹く
760,strömen::V,stream,流れる
761,fließen::V,flow,流れる
762,sich drehen::V,revolve,回転する
763,schwanken::V,sway,揺れる
764,schwingen::V,swing,振動する
765,fallen::V,fall,落ちる
766,brennen::V,burn,燃える
767,rauchen::V,smoke,煙を出す
768,regnen::V,rain,雨が降る
769,gefrieren::V,freeze,凍る
770,tauen::V,thaw,溶ける
771,schmelzen::V,melt,溶ける
772,trocknen::V,dry,乾く
773,sieden::V,boil,沸く
774,faulen::V,rot,腐る
775,verfaulen::V,decay,朽ちる
776,reißen::V,snap,切れる
777,versinken::V,sink,沈む
778,vergehen::V,pass,経つ
779,erscheinen::V,appear,現れる
780,verschwinden::V,disappear,消える
781,sinken::V,drop,下がる
782,abnehmen::V,decrease,減る
783,zunehmen::V,increase,増える
784,steigen::V,rise,上がる
785,wachsen::V,grow,伸びる
786,glänzen::V,shine,輝く
787,funkeln::V,sparkle,ぴかぴか光る
788,lärmen::V,be noisy,騒ぐ
789,läuten::V,chime,鳴る
790,klingeln::V,ring,鳴る
791,klirren::V,tinkle,がらんがらんと鳴る
792,brausen::V,roar,逆巻く
793,rauschen::V,rustle,戦ぐ
794,klingen::V,sound,鳴る
795,bellen::V,bark,吠える
796,heulen::V,howl,きゃんきゃん鳴く
797,blasen::V,blow,吹く
798,pfeifen::V,whistle,口笛を吹く
799,schreien::V,shout,叫ぶ
800,stöhnen::V,groan,うめく
801,zittern::V,tremble,震える
802,leben::V,be alive,生きている
803,geboren werden::V,be born,生まれる
804,atmen::V,breathe,呼吸する
805,trinken::V,drink,飲む
806,essen::V,eat,食べる
807,schlucken::V,swallow,飲み込む
808,müde werden::V,get tired,眠くなる
809,einschlafen::V,fall asleep,寝付く
810,schlafen::V,sleep,眠る
811,aufwachen::V,wake up,目が覚める
812,aufstehen::V,get up,起きる
813,sich erholen::V,relax,休養する
814,krank werden::V,fall ill,病気になる
815,krank sein::V,be ill,病気である
816,schmerzen::V,ache,痛む
817,husten::V,cough,咳をする
818,genesen::V,recover,元気になる
819,sterben::V,die,死ぬ
820,sterben::V,die,亡くなる
821,umkommen::V,perish,死亡する
822,sich bewegen::V,move,移動する
823,sich rühren::V,budge,動く
824,sich erheben::V,stand up,立ち上がる
825,sich setzen::V,sit down,座る
826,hinfallen::V,tumble,転ぶ
827,laufen::V,walk,歩く
828,schreiten::V,pace,跨ぐ
829,spazierengehen::V,go for a walk,散歩する
830,eilen::V,rush,急ぐ
831,sich beeilen::V,hurry,焦る
832,sausen::V,dash,疾駆する
833,rennen::V,run,走る
834,springen::V,jump,跳ぶ
835,klettern::V,climb,よじ登る
836,schaukeln::V,seesaw,ぶらんこに乗る
837,kriechen::V,creep,這う
838,schwimmen::V,swim,泳ぐ
839,tauchen::V,dive,潜る
840,rudern::V,row,漕ぐ
841,fahren::V,drive,行く
842,fahren::V,drive,乗車する
843,fliegen::V,fly,飛ぶ
844,gehen::V,go,行く
845,weggehen::V,go away,立ち去る
846,abfahren::V,depart,出発する
847,anhalten::V,stop,止まる
848,hineingehen::V,go in,入る
849,eintreten::V,enter,中に入る
850,kommen::V,come,来る
851,ankommen::V,arrive,着く
852,ankommen::V,arrive,到着する
853,zurückkommen::V,come back,帰る
854,bleiben::V,stay,留まる
855,warten::V,wait,待つ
856,erwarten::V,wait for,期待する
857,suchen::V,seek,探る
858,suchen::V,look for,探る
859,finden::V,find,見つける
860,versuchen::V,try,試す
861,vorbereiten::V,prepare,準備する
862,lieben::V,love,愛する
863,mögen::V,like,好きである
864,lachen::V,laugh,笑う
865,rühren::V,move,感情を動かす
866,weinen::V,weep,泣く
867,schimpfen::V,grumble,叱る
868,sich ärgern::V,be annoyed,怒る
869,sich ärgern::V,be annoyed,腹を立てる
870,sich fürchten::V,be afraid,怖がる
871,fürchten::V,be afraid of,恐れる
872,fliehen::V,flee,逃げる
873,flüchten::V,escape,逃亡する
874,sehen::V,see,見る
875,anschauen::V,look at,眺める
876,ansehen::V,watch,見る
877,hören::V,hear,聞く
878,zuhören::V,listen,聴く
879,probieren::V,taste,食べてみる
880,riechen::V,smell,気取る
881,fühlen::V,feel,感じる
882,scheinen::V,seem,ように見える
883,zu sehen sein::V,show,見える
884,vernehmen::V,hear,承る
885,frieren::V,be cold,寒気がする
886,tun::V,do,する
887,können::V,can,出来る
888,wollen::V,want,-たい
889,anfangen::V,start,始める
