,Concept_ID,en,zh
608,manchmal::ADV,sometimes,有时
609,oft::ADV,often,时常
610,immer::ADV,always,总是
611,niemals::ADV,never,从未
612,hier::ADV,here,这里
613,hierhin::ADV,hither,到这里
614,hierhin::ADV,to here,到这里
615,hierhin::ADV,here,到这里
616,von hier::ADV,hence,由此
617,dort::ADV,there,那里
618,dorthin::ADV,thither,到那里
619,dorthin::ADV,there,到那里
620,dorthin::ADV,to there,到那里
621,geradeaus::ADV,ahead,一直往前
622,vorwärts::ADV,forward,向前
623,rückwärts::ADV,backward,向后
624,zurück::ADV,back,退后
625,unten::ADV,below,下面
626,hinab::ADV,down,向下
627,oben::ADV,above,上面
628,hinauf::ADV,up,向上
629,überall::ADV,everywhere,到处
630,nicht::ADV,not,不
631,ein wenig::ADV,a little,一点儿
632,kaum::ADV,hardly,几乎不
633,sehr::ADV,very,很
634,so::ADV,so,如此
635,noch::ADV,still,还
636,nur::ADV,only,只
637,schon::ADV,already,已经
638,wieder::ADV,again,又
639,vergebens::ADV,in vain,
640,vor::PRP,in front of,在...面前
641,hinter::PRP,behind,在...背后
642,unter::PRP,under,在...下面
643,durch::PRP,through,穿过
644,neben::PRP,next to,在...旁
645,zwischen::PRP,between,在...之间
646,wegen::PRP,because of,由于
647,dies::PRN,this,这
648,das::PRN,that,那
649,alles::PRN,everything,一切
650,ich::PRN,I,我
651,du::PRN,you,你
652,du::PRN,thou,你
653,er::PRN,he,他
654,wir::PRN,we,我们
655,ihr::PRN,you,你们
656,sie::PRN,they,她
657,was::FPRN,what,什么
658,wer::FPRN,who,谁
659,wo::FADV,where,哪里
660,wohin::FADV,where ... to,去哪里
661,wohin::FADV,where to,去哪里
662,wohin::FADV,where,去哪里
663,wie::FADV,how,怎么
664,warum::FADV,why,为什么
665,wieviel::FNUM,how much,多少
666,eins::NUM,one,一
667,zwei::NUM,two,二
668,drei::NUM,three,三
669,vier::NUM,four,四
670,fünf::NUM,five,五
671,sechs::NUM,six,六
672,sieben::NUM,seven,七
673,acht::NUM,eight,八
674,neun::NUM,nine,九
675,zehn::NUM,ten,十
676,elf::NUM,eleven,十一
677,zwölf::NUM,twelve,十二
678,zwanzig::NUM,twenty,二十
679,dreißig::NUM,thirty,三十
680,vierzig::NUM,forty,四十
681,fünfzig::NUM,fifty,五十
682,sechzig::NUM,sixty,六十
683,siebzig::NUM,seventy,七十
684,achtzig::NUM,eighty,八十
685,neunzig::NUM,ninety,九十
686,hundert::NUM,a hundred,百
687,tausend::NUM,a thousand,千
688,und::CNJ,and,和
689,oder::CNJ,or,或者
690,stehen::V,stand,站
691,sitzen::V,sit,坐
692,liegen::V,lie,躺着
693,hängen::V,hang,挂着
694,werden::V,become,成为
695,passieren::V,happen,发生
696,beginnen::V,begin,开始
697,enden::V,end,终止
698,wechseln::V,change,变迁
699,aufgehen[Sonne]::V,rise,升起
700,untergehen[Sonne]::V,set,下落
701,scheinen[Sonne]::V,shine,照射
702,donnern::V,thunder,打雷
703,wehen::V,blow,飘扬
704,strömen::V,stream,流
705,fließen::V,flow,流动
706,sich drehen::V,revolve,转动
707,schwanken::V,sway,摇摆
708,schwingen::V,swing,摇
709,fallen::V,fall,坠落
710,brennen::V,burn,燃烧
711,rauchen::V,smoke,冒烟
712,regnen::V,rain,下雨
713,gefrieren::V,freeze,结冰
714,tauen::V,thaw,融化
715,schmelzen::V,melt,溶化
716,trocknen::V,dry,变干
717,sieden::V,boil,煮
718,faulen::V,rot,腐烂
719,verfaulen::V,decay,腐烂
720,reißen::V,snap,撕
721,versinken::V,sink,下沉
722,vergehen::V,pass,流逝
723,erscheinen::V,appear,出现
724,verschwinden::V,disappear,消失
725,sinken::V,drop,下降
726,abnehmen::V,decrease,减少
727,zunehmen::V,increase,增加
728,steigen::V,rise,上升
729,wachsen::V,grow,生长
730,glänzen::V,shine,发光
731,funkeln::V,sparkle,闪烁
732,lärmen::V,be noisy,吵闹
733,läuten::V,chime,响
734,klingeln::V,ring,按铃
735,klirren::V,tinkle,
736,brausen::V,roar,疾驶
737,rauschen::V,rustle,
738,klingen::V,sound,听起来
739,bellen::V,bark,吠
740,heulen::V,howl,嗥
741,blasen::V,blow,吹
742,pfeifen::V,whistle,吹口哨
743,schreien::V,shout,叫喊
744,stöhnen::V,groan,呻吟
745,zittern::V,tremble,颤抖
746,leben::V,be alive,生存
747,geboren werden::V,be born,出生
748,atmen::V,breathe,呼吸
749,trinken::V,drink,喝
750,essen::V,eat,吃
751,schlucken::V,swallow,咽
752,müde werden::V,get tired,疲倦
753,einschlafen::V,fall asleep,入睡
754,schlafen::V,sleep,睡觉
755,aufwachen::V,wake up,睡醒
756,aufstehen::V,get up,起床
757,sich erholen::V,relax,休养
758,krank werden::V,fall ill,生病
759,krank sein::V,be ill,生病
760,schmerzen::V,ache,疼痛
761,husten::V,cough,咳
762,genesen::V,recover,痊愈
763,sterben::V,die,死
764,umkommen::V,perish,丧命
765,sich bewegen::V,move,移动
766,sich rühren::V,budge,动弹
767,sich erheben::V,stand up,站起
768,sich setzen::V,sit down,坐
769,hinfallen::V,tumble,跌倒
770,laufen::V,walk,步行
771,schreiten::V,pace,迈步
772,spazierengehen::V,go for a walk,散步
773,eilen::V,rush,急忙
774,sich beeilen::V,hurry,赶快
775,sausen::V,dash,疾驰
776,rennen::V,run,奔跑
777,springen::V,jump,跳
778,klettern::V,climb,攀缘
779,schaukeln::V,seesaw,荡秋千
780,kriechen::V,creep,爬行
781,schwimmen::V,swim,游泳
782,tauchen::V,dive,潜水
783,rudern::V,row,划船
784,fahren::V,drive,行驶
785,fliegen::V,fly,飞
786,gehen::V,go,走
787,weggehen::V,go away,离去
788,abfahren::V,depart,出发
789,anhalten::V,stop,停住
790,hineingehen::V,go in,进去
791,eintreten::V,enter,进入
792,kommen::V,come,来
793,ankommen::V,arrive,到达
794,zurückkommen::V,come back,回来
795,bleiben::V,stay,停留
796,warten::V,wait,等
797,erwarten::V,wait for,等候
798,suchen::V,seek,找
799,suchen::V,look for,找
800,finden::V,find,找到
801,versuchen::V,try,尝试
802,vorbereiten::V,prepare,预备
803,lieben::V,love,爱
804,mögen::V,like,喜欢
805,lachen::V,laugh,笑
806,rühren::V,move,
807,weinen::V,weep,哭
808,schimpfen::V,grumble,骂
809,sich ärgern::V,be annoyed,生气
810,sich fürchten::V,be afraid,害怕
811,fürchten::V,be afraid of,害怕
812,fliehen::V,flee,逃走
813,flüchten::V,escape,逃跑
814,sehen::V,see,看
815,anschauen::V,look at,注视
816,ansehen::V,watch,注视
817,hören::V,hear,听
818,zuhören::V,listen,倾听
819,probieren::V,taste,尝
820,riechen::V,smell,闻
821,fühlen::V,feel,感到
822,scheinen::V,seem,照耀
823,zu sehen sein::V,show,可以看到
824,vernehmen::V,hear,审讯
825,frieren::V,be cold,觉得冷
826,tun::V,do,作
827,können::V,can,能
828,wollen::V,want,要
829,anfangen::V,start,开始
830,beenden::V,finish,结束
831,aufhören::V,stop,停止
832,gelingen::V,succeed,成功
833,geraten::V,turn out,陷于
834,öffnen::V,open,打开
835,schließen::V,close,关
836,stellen::V,put,放
837,setzen::V,place,放
838,legen::V,lay,摆
839,berühren::V,touch,触
840,verbinden::V,connect,联结
841,bedecken::V,cover,覆盖
842,aufhängen::V,hang up,挂
843,anzünden::V,light,点
844,aufheben::V,pick up,拾起
845,zurücklassen::V,leave,遗留
846,verlieren::V,lose,丧失
847,fallen lassen::V,drop,让掉下
848,machen::V,make,做
849,herstellen::V,produce,生产
850,bauen::V,build,建造
851,reparieren::V,mend,修理
852,verbessern::V,improve,改进
853,ändern::V,alter,改变
854,graben::V,dig,挖
855,beugen::V,bow,弯下
856,biegen::V,bend,弯
857,drehen::V,spin,转动
858,wenden::V,turn,转动
859,umdrehen::V,turn around,转动
860,heben::V,raise,举起
861,hochheben::V,lift,抬高
862,ergreifen::V,seize,抓住
863,halten::V,hold,拿着
864,drücken::V,press,压
865,schieben::V,push,推
866,kratzen::V,scrape,搔
867,lecken::V,lick,舔
868,beißen::V,bite,咬
869,abreißen::V,tear off,撕下
870,abschneiden::V,cut off,切断
871,binden::V,tie,捆
872,stecken::V,stick,插
873,brechen::V,break,断裂
874,klopfen::V,knock,敲
875,hauen::V,hit,揍
876,kleben::V,glue,粘
877,reiben::V,rub,摩擦
878,streichen::V,spread,涂
879,schleifen::V,grind,拖曳
880,schneiden::V,cut,切
881,rütteln::V,jolt,颠簸
882,schütteln::V,shake,摇动
883,schwenken::V,swing,摇动
884,schütten::V,pour,倒
885,füllen::V,fill,填满
886,einwickeln::V,wrap,包
887,tragen::V,carry,提
888,schleppen::V,drag,扛
889,ziehen::V,pull,拉
890,aufbewahren::V,keep,保存
891,werfen::V,throw,扔
892,fangen::V,catch,捕捉
893,packen::V,grab,抓住
894,verstecken::V,hide,藏
895,teilen::V,divide,分
896,schicken::V,send,派遣
897,bringen::V,bring,带来
898,hinzufügen::V,add,添加
899,bekommen::V,get,得到
900,erhalten::V,receive,接到
901,nehmen::V,take,拿
902,wählen::V,choose,挑选
903,auswählen::V,select,选择
904,bewahren::V,preserve,保持
905,behindern::V,hinder,防碍
906,verderben::V,spoil,败坏
907,beschädigen::V,damage,损坏
908,zerbrechen::V,break,破碎
909,zerreißen::V,tear,撕碎
910,zerstören::V,destroy,毁坏
911,verbrennen::V,burn,燃烧
