,Concept_ID,en,de
67,Stein::N,stone,Stein
68,Boden::N,soil,Boden
69,Boden::N,ground,Boden
70,Erde::N,earth,Erde
71,Staub::N,dust,Staub
72,Rauch::N,smoke,Rauch
73,Funke::N,spark,Funke
74,Feuer::N,fire,Feuer
75,Licht::N,light,Licht
76,Schatten::N,shadow,Schatten
77,Wetter::N,weather,Wetter
78,Nebel::N,fog,Nebel
79,Wolke::N,cloud,Wolke
80,Regen::N,rain,Regen
81,Schnee::N,snow,Schnee
82,Eis::N,ice,Eis
83,Frost::N,frost,Frost
84,Kälte::N,chill,Kälte
85,Hitze::N,heat,Hitze
86,Raureif::N,hoarfrost,Raureif
87,Regenbogen::N,rainbow,Regenbogen
88,Donner::N,thunder,Donner
89,Strömung::N,current,Strömung
90,Tropfen::N,drop,Tropfen
91,Schaum::N,foam,Schaum
92,Schmutz::N,dirt,Schmutz
93,See::N,lake,See
94,Sumpf::N,swamp,Sumpf
95,Moor::N,moor,Moor
96,Wiese::N,meadow,Wiese
97,Wald::N,forest,Wald
98,Hügel::N,hill,Hügel
99,Anhöhe::N,elevation,Anhöhe
100,Berg::N,mountain,Berg
101,Gipfel::N,summit,Gipfel
102,Höhle::N,cave,Höhle
103,Abhang::N,slope,Abhang
104,Quelle::N,source,Quelle
105,Bach::N,brook,Bach
106,Fluss::N,river,Fluss
107,Ufer::N,shore,Ufer
108,Küste::N,coast,Küste
109,Festland::N,land,Festland
110,Meer::N,sea,Meer
111,Bucht::N,cove,Bucht
112,Insel::N,island,Insel
113,Blume::N,flower,Blume
114,Gras::N,grass,Gras
115,Wurzel::N,root,Wurzel
116,Baum::N,tree,Baum
117,Stamm::N,trunk,Stamm
118,Rinde::N,bark,Rinde
119,Ast::N,limb,Ast
120,Zweig::N,branch,Zweig
121,Blatt::N,leaf,Blatt
122,Birke::N,birch,Birke
123,Kiefer[Baum]::N,pine,Kiefer
124,Weide[Baum]::N,willow,Weide
125,Tanne::N,fir,Tanne
126,Horn::N,horn,Horn
127,Feder::N,feather,Feder
128,Fell::N,fur,Fell
129,Flügel::N,wing,Flügel
130,Klaue::N,claw,Klaue
131,Kralle::N,claw,Kralle
132,Schwanz::N,tail,Schwanz
133,Ei::N,egg,Ei
134,Nest::N,nest,Nest
135,Bau::N,lair,Bau
136,Tier::N,animal,Tier
137,Herde::N,flock,Herde
138,Kuh::N,cow,Kuh
139,Bulle::N,bull,Bulle
140,Pferd::N,horse,Pferd
141,Schaf::N,sheep,Schaf
142,Schwein::N,pig,Schwein
143,Hund::N,dog,Hund
144,Katze::N,cat,Katze
145,Bär::N,bear,Bär
146,Eichhörnchen::N,squirrel,Eichhörnchen
147,Elch::N,elk,Elch
148,Fuchs::N,fox,Fuchs
149,Hase::N,hare,Hase
150,Maus::N,mouse,Maus
151,Wolf::N,wolf,Wolf
152,Vogel::N,bird,Vogel
153,Schwarm::N,swarm,Schwarm
154,Huhn::N,chicken,Huhn
155,Hahn::N,cock,Hahn
156,Gans::N,goose,Gans
157,Adler::N,eagle,Adler
158,Ente::N,duck,Ente
159,Eule::N,owl,Eule
160,Kranich::N,crane,Kranich
161,Krähe::N,crow,Krähe
162,Kuckuck::N,cuckoo,Kuckuck
163,Schwan::N,swan,Schwan
164,Fisch::N,fish,Fisch
165,Barsch::N,perch,Barsch
166,Hecht::N,pike,Hecht
167,Schlange[Tier]::N,snake,Schlange
168,Wurm::N,worm,Wurm
169,Spinne::N,spider,Spinne
170,Ameise::N,ant,Ameise
171,Laus::N,louse,Laus
172,Mücke::N,midge,Mücke
173,Fliege::N,fly,Fliege
174,Schmetterling::N,butterfly,Schmetterling
175,Beere::N,berry,Beere
176,Apfel::N,apple,Apfel
177,Pilz::N,mushroom,Pilz
178,Zwiebel::N,onion,Zwiebel
179,Saat::N,seed,Saat
180,Korn::N,grain,Korn
181,Heu::N,hay,Heu
182,Schale::N,husk,Schale
183,Grube::N,pit,Grube
184,Falle::N,trap,Falle
185,Schlinge::N,noose,Schlinge
186,Spur::N,track,Spur
187,Asche::N,ashes,Asche
188,Dreck::N,filth,Dreck
189,Eisen::N,iron,Eisen
190,Gold::N,gold,Gold
191,Silber::N,silver,Silber
192,Kohle::N,coal,Kohle
193,Glas::N,glass,Glas
194,Lehm::N,clay,Lehm
195,Sand::N,sand,Sand
196,Mensch::N,human,Mensch
197,Mann::N,man,Mann
198,Frau::N,woman,Frau
199,Kind::N,child,Kind
200,Junge::N,boy,Junge
201,Mädchen::N,girl,Mädchen
202,Familie::N,family,Familie
203,Großvater::N,grandfather,Großvater
204,Großmutter::N,grandmother,Großmutter
205,Eltern::N,parents,Eltern
206,Vater::N,father,Vater
207,Mutter::N,mother,Mutter
208,Sohn::N,son,Sohn
209,Tochter::N,daughter,Tochter
210,Bruder::N,brother,Bruder
211,Schwester::N,sister,Schwester
212,Onkel::N,uncle,Onkel
213,Tante::N,aunt,Tante
214,Ehemann::N,husband,Ehemann
215,Ehefrau::N,wife,Ehefrau
216,Freude::N,joy,Freude
217,Gelächter::N,laughter,Gelächter
218,Glück::N,happiness,Glück
219,Kummer::N,grief,Kummer
220,Wunsch::N,wish,Wunsch
221,Lust::N,desire,Lust
222,Geist::N,spirit,Geist
223,Gedanke::N,thought,Gedanke
224,Gedächtnis::N,memory,Gedächtnis
225,Verstand::N,mind,Verstand
226,Sinn::N,meaning,Sinn
227,Grund::N,reason,Grund
228,Wahrheit::N,truth,Wahrheit
229,Gespräch::N,talk,Gespräch
230,Märchen::N,fairy tale,Märchen
231,Erzählung::N,story,Erzählung
232,Nachricht::N,message,Nachricht
233,Neuigkeit::N,news,Neuigkeit
234,Name::N,name,Name
235,Rätsel::N,puzzle,Rätsel
236,Rede::N,speech,Rede
237,Sprache::N,language,Sprache
238,Stimme::N,voice,Stimme
239,Wort::N,word,Wort
240,Zeichen::N,sign,Zeichen
241,Ruf::N,call,Ruf
242,Lärm::N,noise,Lärm
243,Laut::N,sound,Laut
244,Ton::N,tone,Ton
245,Lied::N,song,Lied
246,Ruhe::N,calm,Ruhe
247,Leute::N,people,Leute
248,Volk::N,nation,Volk
249,Arbeit::N,work,Arbeit
250,Gast::N,guest,Gast
251,Geschenk::N,gift,Geschenk
252,Spiel::N,game,Spiel
253,Gesellschaft::N,company,Gesellschaft
254,Hilfe::N,help,Hilfe
255,Freund::N,friend,Freund
256,Kamerad::N,companion,Kamerad
257,Angelegenheit::N,matter,Angelegenheit
258,Anzahl::N,count,Anzahl
259,Art::N,sort,Art
260,Stück::N,piece,Stück
261,Teil::N,part,Teil
262,Hälfte::N,half,Hälfte
263,Kreis::N,circle,Kreis
264,Kreuz::N,cross,Kreuz
265,Linie::N,line,Linie
266,Strich::N,stroke,Strich
267,Abstand::N,gap,Abstand
268,Entfernung::N,distance,Entfernung
269,Gegend::N,area,Gegend
270,Platz::N,space,Platz
271,Ort::N,place,Ort
272,Seite::N,side,Seite
273,Mitte::N,middle,Mitte
274,Gegenstand::N,item,Gegenstand
275,Sache::N,thing,Sache
276,Rand::N,fringe,Rand
277,Kante::N,edge,Kante
278,Ecke::N,corner,Ecke
279,Spitze::N,tip,Spitze
280,Ende::N,end,Ende
281,Loch::N,hole,Loch
282,Winkel::N,angle,Winkel
283,Muster::N,pattern,Muster
284,Größe::N,size,Größe
285,Länge::N,length,Länge
286,Höhe::N,height,Höhe
287,Gewicht::N,weight,Gewicht
288,Menge::N,amount,Menge
289,Haufen::N,heap,Haufen
290,Reihe::N,row,Reihe
291,Boot::N,boat,Boot
292,Ruder::N,oar,Ruder
293,Schlitten::N,sleigh,Schlitten
294,Ski::N,ski,Ski
295,Lagerfeuer::N,campfire,Lagerfeuer
296,Last::N,load,Last
297,Gang::N,walk,Gang
298,Schritt::N,step,Schritt
299,Norden::N,north,Norden
300,Süden::N,south,Süden
301,Westen::N,west,Westen
302,Osten::N,east,Osten
303,Holz::N,wood,Holz
304,Brett::N,board,Brett
305,Platte::N,slab,Platte
306,Stütze::N,bracket,Stütze
307,Stange::N,pole,Stange
308,Stock::N,stick,Stock
309,Stab::N,staff,Stab
310,Rohr::N,pipe,Rohr
311,Haus::N,house,Haus
312,Heim::N,home,Heim
313,Ofen::N,stove,Ofen
314,Fußboden::N,floor,Fußboden
315,Tisch::N,table,Tisch
316,Stuhl::N,chair,Stuhl
317,Wiege::N,cradle,Wiege
318,Bett::N,bed,Bett
319,Regal::N,shelf,Regal
320,Kiste::N,box,Kiste
321,Fenster::N,window,Fenster
322,Tür::N,door,Tür
323,Tor::N,gate,Tor
324,Zaun::N,fence,Zaun
325,Dach::N,roof,Dach
326,Leiter::N,ladder,Leiter
327,Besen::N,broom,Besen
328,Spaten::N,spade,Spaten
329,Schaufel::N,shovel,Schaufel
330,Gabel::N,fork,Gabel
331,Löffel::N,spoon,Löffel
332,Messer::N,knife,Messer
333,Nagel::N,nail,Nagel
334,Netz::N,net,Netz
335,Haken::N,hook,Haken
336,Griff::N,handle,Griff
337,Schloss::N,lock,Schloss
338,Bild::N,picture,Bild
339,Figur::N,figure,Figur
340,Puppe::N,doll,Puppe
341,Beutel::N,pouch,Beutel
342,Bündel::N,bundle,Bündel
343,Tasche::N,bag,Tasche
344,Eimer::N,bucket,Eimer
345,Deckel::N,cover,Deckel
346,Geschirr::N,dishes,Geschirr
347,Sack::N,sack,Sack
348,Tasse::N,cup,Tasse
349,Topf::N,pot,Topf
350,Kessel::N,kettle,Kessel
351,Essen::N,meal,Essen
352,Nahrung::N,food,Nahrung
353,Speise::N,dish,Speise
354,Fleisch::N,meat,Fleisch
355,Getreide::N,corn,Getreide
356,Brei::N,mush,Brei
357,Brot::N,bread,Brot
358,Scheibe::N,slice,Scheibe
359,Fett::N,fat,Fett
360,Butter::N,butter,Butter
361,Öl::N,oil,Öl
362,Salz::N,salt,Salz
363,Suppe::N,soup,Suppe
364,Honig::N,honey,Honig
365,Milch::N,milk,Milch
366,Tee::N,tea,Tee
367,Leder::N,leather,Leder
368,Wolle::N,wool,Wolle
369,Stoff::N,cloth,Stoff
370,Nadel::N,needle,Nadel
371,Faden::N,thread,Faden
372,Knopf::N,button,Knopf
373,Knoten::N,knot,Knoten
374,Farbe::N,paint,Farbe
375,Kleidung::N,clothes,Kleidung
376,Hemd::N,shirt,Hemd
377,Kragen::N,collar,Kragen
378,Ärmel::N,sleeve,Ärmel
379,Hose::N,trousers,Hose
380,Gürtel::N,belt,Gürtel
381,Mütze::N,cap,Mütze
382,Schuh::N,shoe,Schuh
383,Stiefel::N,boot,Stiefel
384,Ring::N,ring,Ring
385,Band::N,ribbon,Band
386,Kamm::N,comb,Kamm
387,Spiegel::N,mirror,Spiegel
388,Riemen::N,strap,Riemen
389,Schnur::N,string,Schnur
390,Leine::N,leash,Leine
391,Decke::N,blanket,Decke
392,Kissen::N,pillow,Kissen
393,Tuch::N,scarf,Tuch
394,Handtuch::N,towel,Handtuch
395,Kraft::N,force,Kraft
396,Stärke::N,strength,Stärke
397,Gesundheit::N,health,Gesundheit
398,Krankheit::N,illness,Krankheit
399,Schmerz::N,pain,Schmerz
400,Wunde::N,wound,Wunde
401,Fieber::N,fever,Fieber
402,Arznei::N,medicine,Arznei
403,Brücke::N,bridge,Brücke
404,Brunnen::N,well,Brunnen
405,Weide::N,pasture,Weide
406,Pfad::N,path,Pfad
407,Weg::N,way,Weg
408,Straße::N,road,Straße
409,Dorf::N,village,Dorf
410,Stadt::N,town,Stadt
411,Brief::N,letter,Brief
412,Buch::N,book,Buch
413,Buchstabe::N,character,Buchstabe
414,Zeitung::N,newspaper,Zeitung
415,Leben::N,life,Leben
416,Tod::N,death,Tod
417,Grab::N,grave,Grab
418,Kirche::N,church,Kirche
419,Sünde::N,sin,Sünde
420,Gott::N,god,Gott
421,Arbeiter::N,worker,Arbeiter
422,Chef::N,boss,Chef
423,Meister::N,master,Meister
424,Arzt::N,doctor,Arzt
425,Lehrer::N,teacher,Lehrer
426,Geld::N,money,Geld
427,Geschäft::N,business,Geschäft
428,Laden::N,shop,Laden
429,Preis::N,price,Preis
430,Ware::N,ware,Ware
431,Nutzen::N,profit,Nutzen
432,Reichtum::N,wealth,Reichtum
433,Welt::N,world,Welt
434,Land::N,country,Land
435,Staat::N,state,Staat
436,König::N,king,König
437,Macht::N,power,Macht
438,Grenze::N,border,Grenze
439,Krieg::N,war,Krieg
440,Feind::N,enemy,Feind
441,Gewalt::N,violence,Gewalt
442,Kampf::N,fight,Kampf
443,Bogen[Waffe]::N,bow,Bogen
444,Pfeil::N,arrow,Pfeil
445,Gewehr::N,gun,Gewehr
446,Fehler::N,mistake,Fehler
447,Lüge::N,lie,Lüge
448,Schaden::N,damage,Schaden
449,Unglück::N,misfortune,Unglück
450,Schuld::N,fault,Schuld
451,Alter::N,age,Alter
452,Schluss::N,conclusion,Schluss
453,Zeit::N,time,Zeit
454,Tag::N,day,Tag
455,Morgen::N,morning,Morgen
456,Mittag::N,noon,Mittag
457,Abend::N,evening,Abend
458,Nacht::N,night,Nacht
459,Woche::N,week,Woche
460,Monat::N,month,Monat
461,Jahr::N,year,Jahr
462,Frühling::N,spring,Frühling
463,Sommer::N,summer,Sommer
464,Herbst::N,autumn,Herbst
465,Winter::N,winter,Winter
466,Januar::N,January,Januar
467,Februar::N,February,Februar
468,März::N,March,März
469,April::N,April,April
470,Mai::N,May,Mai
471,Juni::N,June,Juni
472,Juli::N,July,Juli
473,August::N,August,August
474,September::N,September,September
475,Oktober::N,October,Oktober
476,November::N,November,November
477,Dezember::N,December,Dezember
478,Montag::N,Monday,Montag
479,Dienstag::N,Tuesday,Dienstag
480,Mittwoch::N,Wednesday,Mittwoch
481,Donnerstag::N,Thursday,Donnerstag
482,Freitag::N,Friday,Freitag
483,Samstag::N,Saturday,Samstag
484,Sonntag::N,Sunday,Sonntag
485,groß::A,big,groß
486,klein::A,little,klein
487,lang::A,long,lang
488,kurz::A,short,kurz
489,breit::A,wide,breit
490,schmal::A,narrow,schmal
491,dicht::A,dense,dicht
492,dick[Gegenstand]::A,thick,dick
493,dünn::A,thin,dünn
494,fein::A,delicate,fein
495,fest::A,firm,fest
496,flach::A,flat,flach
497,glatt::A,smooth,glatt
498,hart::A,hard,hart
499,weich::A,soft,weich
500,rund::A,round,rund
501,spitz::A,pointed,spitz
502,scharf::A,sharp,scharf
503,stumpf::A,blunt,stumpf
504,schwer::A,heavy,schwer
505,schön::A,beautiful,schön
506,heiß::A,hot,heiß
507,warm::A,warm,warm
508,kalt::A,cold,kalt
509,kühl::A,cool,kühl
510,frisch::A,fresh,frisch
511,feucht::A,damp,feucht
512,nass::A,wet,nass
513,trocken::A,dry,trocken
514,voll::A,full,voll
515,leer::A,empty,leer
516,offen::A,open,offen
517,geschlossen::A,closed,geschlossen
518,sauber::A,clean,sauber
519,schmutzig::A,dirty,schmutzig
520,roh::A,raw,roh
521,reif::A,ripe,reif
522,lecker::A,delicious,lecker
523,süß::A,sweet,süß
524,bitter::A,bitter,bitter
525,sauer::A,sour,sauer
526,hell::A,bright,hell
527,dunkel::A,dark,dunkel
528,schwarz::A,black,schwarz
529,weiß::A,white,weiß
530,rot::A,red,rot
531,gelb::A,yellow,gelb
532,blau::A,blue,blau
533,grün::A,green,grün
534,grau::A,grey,grau
535,bunt::A,colourful,bunt
536,bunt::A,colorful,bunt
537,billig::A,cheap,billig
538,teuer::A,dear,teuer
539,wertvoll::A,precious,wertvoll
540,blind::A,blind,blind
541,taub::A,deaf,taub
542,kräftig::A,powerful,kräftig
543,stark::A,strong,stark
544,schwach::A,weak,schwach
545,fett::A,fat,fett
546,schlank::A,slim,schlank
547,hübsch::A,pretty,hübsch
548,böse::A,evil,böse
549,dumm::A,stupid,dumm
550,faul::A,lazy,faul
551,fleißig::A,diligent,fleißig
552,geizig::A,stingy,geizig
553,klug::A,clever,klug
554,geschickt::A,skilful,geschickt
555,geschickt::A,skillful,geschickt
556,lieb::A,dear,lieb
557,lustig::A,merry,lustig
558,sanft::A,gentle,sanft
559,hungrig::A,hungry,hungrig
560,krank::A,sick,krank
561,nackt::A,naked,nackt
562,traurig::A,sad,traurig
563,lebendig::A,living,lebendig
564,gut::A,good,gut
565,schlecht::A,bad,schlecht
566,richtig::A,correct,richtig
567,schlimm::A,nasty,schlimm
568,wahr::A,true,wahr
569,alt::A,old,alt
570,neu::A,new,neu
571,ehemalig::A,former,ehemalig
572,alt[Lebewesen]::A,aged,alt
573,jung::A,young,jung
574,arm::A,poor,arm
575,reich::A,rich,reich
576,bekannt::A,familiar,bekannt
577,berühmt::A,famous,berühmt
578,fremd::A,foreign,fremd
579,verschieden::A,different,verschieden
580,nah::A,near,nah
581,fern::A,far,fern
582,linker::A,left,linker
583,rechter::A,right,rechter
584,anderer::A,other,anderer
585,erster::A,first,erster
586,zweiter::A,second,zweiter
587,dritter::A,third,dritter
588,letzter::A,last,letzter
589,allein::ADV,alone,allein
590,auf einmal::ADV,at once,auf einmal
591,zusammen::ADV,together,zusammen
592,lange::ADV,long,lange
593,plötzlich::ADV,suddenly,plötzlich
594,sofort::ADV,instantly,sofort
595,später::ADV,later,später
596,jetzt::ADV,now,jetzt
597,heute::ADV,today,heute
598,morgen::ADV,tomorrow,morgen
599,bald::ADV,soon,bald
600,dann::ADV,then,dann
601,gestern::ADV,yesterday,gestern
602,einst::ADV,once,einst
603,damals::ADV,at that time,damals
604,danach::ADV,afterwards,danach
605,vorher::ADV,before,vorher
606,zuerst::ADV,at first,zuerst
607,einmal::ADV,once,einmal
608,manchmal::ADV,sometimes,manchmal
609,oft::ADV,often,oft
610,immer::ADV,always,immer
611,niemals::ADV,never,niemals
612,hier::ADV,here,hier
613,hierhin::ADV,hither,hierhin
614,hierhin::ADV,to here,hierhin
615,hierhin::ADV,here,hierhin
616,von hier::ADV,hence,von hier
617,dort::ADV,there,dort
618,dorthin::ADV,thither,dorthin
619,dorthin::ADV,there,dorthin
620,dorthin::ADV,to there,dorthin
621,geradeaus::ADV,ahead,geradeaus
622,vorwärts::ADV,forward,vorwärts
623,rückwärts::ADV,backward,rückwärts
624,zurück::ADV,back,zurück
625,unten::ADV,below,unten
626,hinab::ADV,down,hinab
627,oben::ADV,above,oben
628,hinauf::ADV,up,hinauf
629,überall::ADV,everywhere,überall
630,nicht::ADV,not,nicht
631,ein wenig::ADV,a little,ein wenig
632,kaum::ADV,hardly,kaum
633,sehr::ADV,very,sehr
634,so::ADV,so,so
635,noch::ADV,still,noch
636,nur::ADV,only,nur
637,schon::ADV,already,schon
638,wieder::ADV,again,wieder
639,vergebens::ADV,in vain,vergebens
640,vor::PRP,in front of,vor
641,hinter::PRP,behind,hinter
642,unter::PRP,under,unter
643,durch::PRP,through,durch
644,neben::PRP,next to,neben
645,zwischen::PRP,between,zwischen
646,wegen::PRP,because of,wegen
647,dies::PRN,this,dies
648,das::PRN,that,das
649,alles::PRN,everything,alles
650,ich::PRN,I,ich
651,du::PRN,you,du
652,du::PRN,thou,du
653,er::PRN,he,er
654,wir::PRN,we,wir
655,ihr::PRN,you,ihr
656,sie::PRN,they,sie
657,was::FPRN,what,was
658,wer::FPRN,who,wer
659,wo::FADV,where,wo
660,wohin::FADV,where ... to,wohin
661,wohin::FADV,where to,wohin
662,wohin::FADV,where,wohin
663,wie::FADV,how,wie
664,warum::FADV,why,warum
665,wieviel::FNUM,how much,wieviel
666,eins::NUM,one,eins
667,zwei::NUM,two,zwei
668,drei::NUM,three,drei
669,vier::NUM,four,vier
670,fünf::NUM,five,fünf
671,sechs::NUM,six,sechs
672,sieben::NUM,seven,sieben
673,acht::NUM,eight,acht
674,neun::NUM,nine,neun
675,zehn::NUM,ten,zehn
676,elf::NUM,eleven,elf
677,zwölf::NUM,twelve,zwölf
678,zwanzig::NUM,twenty,zwanzig
679,dreißig::NUM,thirty,dreißig
680,vierzig::NUM,forty,vierzig
681,fünfzig::NUM,fifty,fünfzig
682,sechzig::NUM,sixty,sechzig
683,siebzig::NUM,seventy,siebzig
684,achtzig::NUM,eighty,achtzig
685,neunzig::NUM,ninety,neunzig
686,hundert::NUM,a hundred,hundert
687,tausend::NUM,a thousand,tausend
688,und::CNJ,and,und
689,oder::CNJ,or,oder
690,stehen::V,stand,stehen
691,sitzen::V,sit,sitzen
692,liegen::V,lie,liegen
693,hängen::V,hang,hängen
694,werden::V,become,werden
695,passieren::V,happen,passieren
696,beginnen::V,begin,beginnen
697,enden::V,end,enden
698,wechseln::V,change,wechseln
699,aufgehen[Sonne]::V,rise,aufgehen
700,untergehen[Sonne]::V,set,untergehen
701,scheinen[Sonne]::V,shine,scheinen
702,donnern::V,thunder,donnern
703,wehen::V,blow,wehen
704,strömen::V,stream,strömen
705,fließen::V,flow,fließen
706,sich drehen::V,revolve,sich drehen
707,schwanken::V,sway,schwanken
708,schwingen::V,swing,schwingen
709,fallen::V,fall,fallen
710,brennen::V,burn,brennen
711,rauchen::V,smoke,rauchen
712,regnen::V,rain,regnen
713,gefrieren::V,freeze,gefrieren
714,tauen::V,thaw,tauen
715,schmelzen::V,melt,schmelzen
716,trocknen::V,dry,trocknen
717,sieden::V,boil,sieden
718,faulen::V,rot,faulen
719,verfaulen::V,decay,verfaulen
720,reißen::V,snap,reißen
721,versinken::V,sink,versinken
722,vergehen::V,pass,vergehen
723,erscheinen::V,appear,erscheinen
724,verschwinden::V,disappear,verschwinden
725,sinken::V,drop,sinken
726,abnehmen::V,decrease,abnehmen
727,zunehmen::V,increase,zunehmen
728,steigen::V,rise,steigen
729,wachsen::V,grow,wachsen
730,glänzen::V,shine,glänzen
731,funkeln::V,sparkle,funkeln
732,lärmen::V,be noisy,lärmen
733,läuten::V,chime,läuten
734,klingeln::V,ring,klingeln
735,klirren::V,tinkle,klirren
736,brausen::V,roar,brausen
737,rauschen::V,rustle,rauschen
738,klingen::V,sound,klingen
739,bellen::V,bark,bellen
740,heulen::V,howl,heulen
741,blasen::V,blow,blasen
742,pfeifen::V,whistle,pfeifen
743,schreien::V,shout,schreien
744,stöhnen::V,groan,stöhnen
745,zittern::V,tremble,zittern
746,leben::V,be alive,leben
747,geboren werden::V,be born,geboren werden
748,atmen::V,breathe,atmen
749,trinken::V,drink,trinken
750,essen::V,eat,essen
751,schlucken::V,swallow,schlucken
752,müde werden::V,get tired,müde werden
753,einschlafen::V,fall asleep,einschlafen
754,schlafen::V,sleep,schlafen
755,aufwachen::V,wake up,aufwachen
756,aufstehen::V,get up,aufstehen
757,sich erholen::V,relax,sich erholen
758,krank werden::V,fall ill,krank werden
759,krank sein::V,be ill,krank sein
760,schmerzen::V,ache,schmerzen
761,husten::V,cough,husten
762,genesen::V,recover,genesen
763,sterben::V,die,sterben
764,umkommen::V,perish,umkommen
765,sich bewegen::V,move,sich bewegen
766,sich rühren::V,budge,sich rühren
767,sich erheben::V,stand up,sich erheben
768,sich setzen::V,sit down,sich setzen
769,hinfallen::V,tumble,hinfallen
770,laufen::V,walk,laufen
771,schreiten::V,pace,schreiten
772,spazierengehen::V,go for a walk,spazierengehen
773,eilen::V,rush,eilen
774,sich beeilen::V,hurry,sich beeilen
775,sausen::V,dash,sausen
776,rennen::V,run,rennen
777,springen::V,jump,springen
778,klettern::V,climb,klettern
779,schaukeln::V,seesaw,schaukeln
780,kriechen::V,creep,kriechen
781,schwimmen::V,swim,schwimmen
782,tauchen::V,dive,tauchen
783,rudern::V,row,rudern
784,fahren::V,drive,fahren
785,fliegen::V,fly,fliegen
786,gehen::V,go,gehen
787,weggehen::V,go away,weggehen
788,abfahren::V,depart,abfahren
789,anhalten::V,stop,anhalten
790,hineingehen::V,go in,hineingehen
791,eintreten::V,enter,eintreten
792,kommen::V,come,kommen
793,ankommen::V,arrive,ankommen
794,zurückkommen::V,come back,zurückkommen
795,bleiben::V,stay,bleiben
796,warten::V,wait,warten
797,erwarten::V,wait for,erwarten
798,suchen::V,seek,suchen
799,suchen::V,look for,suchen
800,finden::V,find,finden
801,versuchen::V,try,versuchen
802,vorbereiten::V,prepare,vorbereiten
803,lieben::V,love,lieben
804,mögen::V,like,mögen
805,lachen::V,laugh,lachen
806,rühren::V,move,rühren
807,weinen::V,weep,weinen
808,schimpfen::V,grumble,schimpfen
809,sich ärgern::V,be annoyed,sich ärgern
810,sich fürchten::V,be afraid,sich fürchten
811,fürchten::V,be afraid of,fürchten
812,fliehen::V,flee,fliehen
813,flüchten::V,escape,flüchten
814,sehen::V,see,sehen
815,anschauen::V,look at,anschauen
816,ansehen::V,watch,ansehen
817,hören::V,hear,hören
818,zuhören::V,listen,zuhören
819,probieren::V,taste,probieren
820,riechen::V,smell,riechen
821,fühlen::V,feel,fühlen
822,scheinen::V,seem,scheinen
823,zu sehen sein::V,show,zu sehen sein
824,vernehmen::V,hear,vernehmen
825,frieren::V,be cold,frieren
826,tun::V,do,tun
827,können::V,can,können
828,wollen::V,want,wollen
829,anfangen::V,start,anfangen
830,beenden::V,finish,beenden
831,aufhören::V,stop,aufhören
832,gelingen::V,succeed,gelingen
833,geraten::V,turn out,geraten
834,öffnen::V,open,öffnen
835,schließen::V,close,schließen
836,stellen::V,put,stellen
837,setzen::V,place,setzen
838,legen::V,lay,legen
839,berühren::V,touch,berühren
840,verbinden::V,connect,verbinden
841,bedecken::V,cover,bedecken
842,aufhängen::V,hang up,aufhängen
843,anzünden::V,light,anzünden
844,aufheben::V,pick up,aufheben
845,zurücklassen::V,leave,zurücklassen
846,verlieren::V,lose,verlieren
847,fallen lassen::V,drop,fallen lassen
848,machen::V,make,machen
